Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	12073436	n/a	0	0	n/a	N	0	000000	172	14.3	0.02	0.03	0.15	8632	172	n/a	32	116	n/a	40	124	n/a	152	156	n/a	
2	12074869	n/a	0	0	n/a	N	0	000000	124	8.38	0.03	0.05	0.07	6580	124	n/a	52	96	n/a	48	124	n/a	120	88	n/a	
3	12085395	n/a	0	0	n/a	N	0	000000	332	36.4	0.05	0.09	0.34	12268	332	n/a	36	252	n/a	52	296	n/a	232	304	n/a	
4	12091799	n/a	0	0	n/a	N	0	000000	256	29.8	0.06	0.08	0.03	12916	256	n/a	56	220	n/a	64	236	n/a	104	76	n/a	
5	12094523	n/a	0	0	n/a	N	0	000000	268	32.9	0.06	0.07	0.20	13300	268	n/a	48	228	n/a	48	256	n/a	188	220	n/a	
6	12099631	n/a	0	0	n/a	N	0	000000	76	3.46	0.01	0.01	0.02	3828	76	n/a	32	36	n/a	32	56	n/a	120	36	n/a	
7	12100613	n/a	0	0	n/a	N	0	000000	60	3.14	0.01	0.02	0.01	4628	60	n/a	32	48	n/a	52	52	n/a	60	20	n/a	
8	12101080	n/a	0	0	n/a	N	0	000000	96	4.84	0.02	0.03	0.12	4456	96	n/a	40	80	n/a	52	88	n/a	196	96	n/a	
9	12101208	n/a	0	0	n/a	N	0	000000	164	9.00	0.03	0.04	0.12	4996	164	n/a	40	140	n/a	44	148	n/a	128	160	n/a	
10	12101881	n/a	0	0	n/a	N	0	000000	104	4.95	0.02	0.03	0.05	4072	104	n/a	40	92	n/a	48	96	n/a	140	52	n/a	
11	12105367	n/a	0	0	n/a	N	0	000000	208	16.6	0.06	0.08	0.22	8028	208	n/a	56	188	n/a	52	204	n/a	160	208	n/a	
12	12111414	n/a	0	0	n/a	N	0	000000	240	15.7	0.05	0.08	0.27	6212	240	n/a	52	180	n/a	60	212	n/a	236	232	n/a	
13	12111419	n/a	0	0	n/a	N	0	000000	376	40.3	0.07	0.09	0.04	11336	376	n/a	40	296	n/a	52	320	n/a	128	132	n/a	
14	12111550	n/a	0	0	n/a	N	0	000000	984	307	0.16	16.1	119	33312	984	n/a	48	724	n/a	2236	984	n/a	15388	984	n/a	
15	12111734	n/a	0	0	n/a	N	0	100000	872	322	0.19	36.3	148	39472	872	n/a	56	776	n/a	4752	872	n/a	19168	872	n/a	
16	12111763	n/a	0	0	n/a	N	0	110000	1092	520	0.24	49.6	186	56732	1092	n/a	60	928	n/a	6296	1092	n/a	20228	1092	n/a	
17	12111811	n/a	0	0	n/a	N	0	111000	1000	534	0.22	62.1	285	65532	1000	n/a	64	800	n/a	9248	1000	n/a	42776	1000	n/a	
18	12111837	n/a	0	0	n/a	N	0	100000	708	323	0.17	77.6	225	51948	708	n/a	48	644	n/a	14072	708	n/a	36648	708	n/a	
19	12111844	n/a	0	0	n/a	N	0	111000	1116	612	0.26	52.3	268	59740	1116	n/a	64	984	n/a	6760	1116	n/a	32372	1116	n/a	
20	12111907	n/a	0	0	n/a	N	0	100000	692	353	0.13	4.14	46.4	58092	692	n/a	64	524	n/a	848	660	n/a	9504	688	n/a	
