Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	20619343	n/a	0	0	n/a	N	0	111001	1584	1080	10.6	253	999	65532	1584	n/a	800	1520	n/a	21444	1584	n/a	65532	1584	n/a	
2	20619343	n/a	0	0	n/a	N	0	111000	1812	1116	10.4	229	778	65532	1812	n/a	748	1788	n/a	15760	1812	n/a	54812	1812	n/a	
3	20619344	n/a	0	0	n/a	N	0	111000	1336	781	3.09	54.8	357	60676	1336	n/a	296	1320	n/a	6120	1336	n/a	37072	1336	n/a	
4	20622534	n/a	0	0	n/a	N	0	111000	1192	747	15.8	143	448	65532	1192	n/a	1848	1148	n/a	16484	1192	n/a	51876	1192	n/a	
5	20623019	n/a	0	0	n/a	N	0	000000	636	227	1.14	7.74	46.5	39956	636	n/a	264	636	n/a	1688	632	n/a	9868	632	n/a	
6	20624910	n/a	0	0	n/a	N	0	111000	1752	1091	16.6	188	715	65532	1752	n/a	1292	1676	n/a	14832	1740	n/a	56936	1740	n/a	
7	20625014	n/a	0	0	n/a	N	0	111000	1784	1102	5.46	62.7	535	65532	1784	n/a	440	1668	n/a	6120	1712	n/a	50796	1780	n/a	
8	20625931	n/a	0	0	n/a	N	0	000000	948	184	0.81	3.15	15.0	30832	948	n/a	140	948	n/a	708	948	n/a	3468	932	n/a	
9	20626002	n/a	0	0	n/a	N	0	111000	1772	1199	10.2	148	947	65532	1772	n/a	792	1692	n/a	12628	1752	n/a	65532	1764	n/a	
10	20626693	n/a	0	0	n/a	N	0	111000	1380	809	2.56	31.0	284	60192	1380	n/a	248	1364	n/a	2688	1380	n/a	23508	1380	n/a	
11	20629224	n/a	0	0	n/a	N	0	111000	2068	1391	4.94	62.7	530	65532	2068	n/a	292	1988	n/a	4112	2012	n/a	31876	2068	n/a	
12	20632874	n/a	0	0	n/a	N	0	111000	1376	845	2.85	42.6	389	65532	1376	n/a	268	1344	n/a	4696	1368	n/a	40420	1376	n/a	
13	20638203	n/a	0	0	n/a	N	0	000000	144	7.62	0.07	0.11	0.14	4720	144	n/a	68	144	n/a	84	144	n/a	284	92	n/a	
14	20641114	n/a	0	0	n/a	N	0	000000	100	6.43	0.09	0.34	1.45	6352	100	n/a	120	100	n/a	384	100	n/a	1904	100	n/a	
15	20641667	n/a	0	0	n/a	N	0	000000	100	5.41	0.06	0.14	0.73	4944	100	n/a	92	100	n/a	152	100	n/a	892	100	n/a	
16	20641672	n/a	0	0	n/a	N	0	000000	76	3.67	0.04	0.06	0.03	4184	76	n/a	72	76	n/a	88	76	n/a	164	28	n/a	
17	20642279	n/a	0	0	n/a	N	0	000000	216	14.9	0.13	0.18	0.84	6888	216	n/a	72	216	n/a	100	216	n/a	608	212	n/a	
18	20642376	n/a	0	0	n/a	N	0	000000	104	4.96	0.06	0.06	0.55	4116	104	n/a	76	104	n/a	80	104	n/a	676	104	n/a	
19	20642821	n/a	0	0	n/a	N	0	000000	152	8.84	0.55	3.80	3.25	5504	152	n/a	412	152	n/a	2632	152	n/a	2316	152	n/a	
20	20642858	n/a	0	0	n/a	N	0	000000	120	7.05	0.06	0.08	0.39	5508	120	n/a	72	120	n/a	76	120	n/a	576	108	n/a	
21	20643078	n/a	0	0	n/a	N	0	000000	68	3.33	0.05	0.10	0.56	4404	68	n/a	76	68	n/a	152	68	n/a	932	68	n/a	
22	20643584	n/a	0	0	n/a	N	0	000000	264	25.1	0.26	0.82	4.42	11128	264	n/a	132	264	n/a	424	264	n/a	2292	264	n/a	
23	20643880	n/a	0	0	n/a	N	0	000000	156	8.22	0.07	0.08	0.02	4764	156	n/a	72	156	n/a	80	156	n/a	80	32	n/a	
24	20644181	n/a	0	0	n/a	N	0	000000	120	6.43	0.06	0.10	0.01	4904	120	n/a	64	120	n/a	96	120	n/a	84	8	n/a	
25	20644409	n/a	0	0	n/a	N	0	000000	88	4.32	0.11	0.95	1.19	4368	88	n/a	144	88	n/a	1228	88	n/a	1500	88	n/a	
26	20644641	n/a	0	0	n/a	N	0	000000	180	13.1	0.10	0.10	0.02	7400	180	n/a	72	180	n/a	80	180	n/a	80	40	n/a	
27	20644922	n/a	0	0	n/a	N	0	000000	80	3.82	0.04	0.09	0.38	4148	80	n/a	64	80	n/a	128	80	n/a	624	80	n/a	
28	20645280	n/a	0	0	n/a	N	0	000000	224	13.1	0.11	0.15	0.01	5440	224	n/a	64	224	n/a	84	224	n/a	60	16	n/a	
29	20645632	n/a	0	0	n/a	N	0	000000	96	4.97	0.05	0.09	0.37	4688	96	n/a	76	96	n/a	112	96	n/a	508	96	n/a	
30	20645774	n/a	0	0	n/a	N	0	000000	244	11.3	0.12	0.14	1.03	4020	244	n/a	80	244	n/a	88	240	n/a	568	240	n/a	
31	20646065	n/a	0	0	n/a	N	0	000000	224	18.3	0.18	0.44	1.22	8656	224	n/a	124	224	n/a	252	224	n/a	776	224	n/a	
32	20646501	n/a	0	0	n/a	N	0	000000	1764	467	8.05	122	347	26180	1764	n/a	524	1728	n/a	7648	1764	n/a	22748	1764	n/a	
33	20646713	n/a	0	0	n/a	N	0	000000	108	5.76	0.11	0.52	0.95	4800	108	n/a	108	108	n/a	556	108	n/a	1068	108	n/a	
34	20647122	n/a	0	0	n/a	N	0	000000	604	164	0.67	2.23	11.0	35748	604	n/a	152	604	n/a	524	604	n/a	2740	604	n/a	
35	20647435	n/a	0	0	n/a	N	0	000000	68	3.23	0.03	0.03	0.23	4220	68	n/a	72	68	n/a	64	68	n/a	444	68	n/a	
36	20647594	n/a	0	0	n/a	N	0	000000	96	4.62	0.05	0.06	0.34	4208	96	n/a	64	96	n/a	76	96	n/a	504	96	n/a	
37	20647871	n/a	0	0	n/a	N	0	000000	72	3.64	0.05	0.12	0.75	4424	72	n/a	84	72	n/a	168	72	n/a	1116	72	n/a	
38	20648160	n/a	0	0	n/a	N	0	000000	92	4.78	0.04	0.05	0.18	4596	92	n/a	64	92	n/a	72	92	n/a	288	92	n/a	
39	20648191	n/a	0	0	n/a	N	0	000000	64	3.10	0.04	0.06	0.19	4332	64	n/a	72	64	n/a	92	64	n/a	444	64	n/a	
40	20648437	n/a	0	0	n/a	N	0	000000	128	7.87	0.06	0.11	0.13	5804	128	n/a	60	128	n/a	100	128	n/a	380	64	n/a	
41	20648586	n/a	0	0	n/a	N	0	000000	220	11.0	0.13	0.24	0.64	4364	220	n/a	72	220	n/a	116	220	n/a	632	200	n/a	
42	20648687	n/a	0	0	n/a	N	0	000000	420	46.5	0.48	3.09	2.50	11928	420	n/a	180	420	n/a	1124	420	n/a	1084	404	n/a	
43	20648968	n/a	0	0	n/a	N	0	000000	212	9.57	0.46	1.78	1.21	3832	212	n/a	232	212	n/a	840	212	n/a	788	204	n/a	
44	20648977	n/a	0	0	n/a	N	0	000000	128	8.23	0.07	0.10	0.01	6408	128	n/a	72	128	n/a	96	128	n/a	184	20	n/a	
45	20649006	n/a	0	0	n/a	N	0	000000	196	15.1	0.11	0.13	0.22	7860	196	n/a	76	196	n/a	88	196	n/a	328	112	n/a	
46	20649583	n/a	0	0	n/a	N	0	000000	132	7.65	0.07	0.07	0.52	5368	132	n/a	72	132	n/a	68	132	n/a	696	132	n/a	
47	20649771	n/a	0	0	n/a	N	0	000000	120	7.16	0.07	0.13	0.70	5624	120	n/a	72	120	n/a	120	120	n/a	708	120	n/a	
48	20649895	n/a	0	0	n/a	N	0	000000	72	3.51	0.04	0.05	0.08	4244	72	n/a	72	72	n/a	72	72	n/a	368	60	n/a	
49	20649996	n/a	0	0	n/a	N	0	000000	124	6.10	0.08	0.22	0.14	4324	124	n/a	72	124	n/a	192	124	n/a	340	72	n/a	
50	20650011	n/a	0	0	n/a	N	0	000000	232	18.1	0.55	3.99	3.53	8068	232	n/a	312	232	n/a	2300	232	n/a	1896	232	n/a	
51	20650248	n/a	0	0	n/a	N	0	000000	380	26.2	0.79	3.73	3.32	6772	380	n/a	300	380	n/a	1336	380	n/a	1448	372	n/a	
52	20650346	n/a	0	0	n/a	N	0	000000	352	17.7	0.34	3.01	4.13	4436	352	n/a	124	352	n/a	852	352	n/a	1552	352	n/a	
53	20650527	n/a	0	0	n/a	N	0	000000	188	10.7	0.17	0.71	0.29	5340	188	n/a	116	188	n/a	424	188	n/a	376	144	n/a	
54	20650589	n/a	0	0	n/a	N	0	000000	164	7.72	0.23	0.97	0.86	4032	164	n/a	164	164	n/a	640	164	n/a	724	164	n/a	
55	20650812	n/a	0	0	n/a	N	0	000000	128	8.94	0.07	0.14	0.94	7100	128	n/a	80	128	n/a	124	128	n/a	1024	128	n/a	
56	20650831	n/a	0	0	n/a	N	0	000000	100	4.84	0.06	0.16	1.80	4248	100	n/a	68	100	n/a	164	100	n/a	1700	100	n/a	
57	20651182	n/a	0	0	n/a	N	0	000000	128	6.09	0.06	0.08	0.55	4068	128	n/a	60	128	n/a	76	128	n/a	616	124	n/a	
58	20651394	n/a	0	0	n/a	N	0	000000	168	13.8	0.10	0.19	0.41	8916	168	n/a	88	168	n/a	144	168	n/a	508	136	n/a	
59	20651416	n/a	0	0	n/a	N	0	000000	88	4.37	0.04	0.08	0.02	4352	88	n/a	72	88	n/a	92	88	n/a	80	40	n/a	
60	20651456	n/a	0	0	n/a	N	0	000000	92	4.78	0.04	0.28	0.29	4568	92	n/a	52	88	n/a	316	92	n/a	464	92	n/a	
61	20651475	n/a	0	0	n/a	N	0	000000	100	5.15	0.06	0.11	0.09	4616	100	n/a	84	100	n/a	136	100	n/a	292	68	n/a	
62	20651496	n/a	0	0	n/a	N	0	000000	148	9.76	0.08	0.14	0.04	6500	148	n/a	64	148	n/a	104	148	n/a	200	32	n/a	
63	20651552	n/a	0	0	n/a	N	0	000000	236	19.0	0.16	0.33	1.24	7960	236	n/a	100	236	n/a	196	236	n/a	832	232	n/a	
64	20651578	n/a	0	0	n/a	N	0	000000	196	19.8	0.12	0.17	0.43	11420	196	n/a	72	196	n/a	112	196	n/a	392	180	n/a	
65	20651761	n/a	0	0	n/a	N	0	000000	128	5.91	0.18	0.78	1.63	3920	128	n/a	156	128	n/a	596	128	n/a	1412	128	n/a	
66	20651822	n/a	0	0	n/a	N	0	000000	128	7.94	0.07	0.09	0.37	5900	128	n/a	72	128	n/a	88	128	n/a	536	128	n/a	
67	20651990	n/a	0	0	n/a	N	0	000000	244	11.2	0.20	1.31	3.13	3896	244	n/a	96	244	n/a	624	244	n/a	1432	244	n/a	
68	20651993	n/a	0	0	n/a	N	0	000000	168	9.22	0.58	2.86	2.17	5024	168	n/a	464	168	n/a	2092	168	n/a	1624	168	n/a	
69	20652010	n/a	0	0	n/a	N	0	000000	284	14.8	0.70	3.19	5.20	4680	284	n/a	284	284	n/a	1312	284	n/a	2188	284	n/a	
70	20652260	n/a	0	0	n/a	N	0	000000	292	20.3	0.14	0.20	1.37	6812	292	n/a	68	292	n/a	88	292	n/a	844	292	n/a	
71	20652380	n/a	0	0	n/a	N	0	000000	448	69.1	0.41	1.29	8.39	16496	448	n/a	120	444	n/a	380	448	n/a	2404	448	n/a	
72	20652711	n/a	0	0	n/a	N	0	000000	348	17.5	0.20	0.32	1.60	4504	348	n/a	80	348	n/a	116	348	n/a	688	348	n/a	
73	20652774	n/a	0	0	n/a	N	0	000000	80	3.87	0.11	0.31	0.46	4200	80	n/a	144	80	n/a	424	80	n/a	712	80	n/a	
