Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	6291377	n/a	0	0	n/a	N	0	000000	200	9.83	0.14	0.30	1.48	4584	200	n/a	100	200	n/a	176	200	n/a	944	200	n/a	
2	6291460	n/a	0	0	n/a	N	0	000000	212	12.0	0.23	1.15	3.38	5200	212	n/a	120	212	n/a	564	212	n/a	1756	212	n/a	
3	6291493	n/a	0	0	n/a	N	0	000000	128	8.46	0.08	0.55	2.04	6216	128	n/a	72	128	n/a	456	128	n/a	2096	128	n/a	
4	6291504	n/a	0	0	n/a	N	0	000000	92	4.81	0.04	0.31	1.44	4588	92	n/a	52	92	n/a	360	92	n/a	1800	92	n/a	
5	6291557	n/a	0	0	n/a	N	0	000000	236	12.2	0.11	0.17	1.23	4828	236	n/a	68	236	n/a	112	232	n/a	660	236	n/a	
6	6291746	n/a	0	0	n/a	N	0	000000	164	13.7	0.14	1.13	4.13	7984	164	n/a	108	164	n/a	700	164	n/a	2940	164	n/a	
7	6291775	n/a	0	0	n/a	N	0	000000	248	30.0	0.31	1.37	6.00	12180	248	n/a	152	248	n/a	620	248	n/a	2944	248	n/a	
8	6291888	n/a	0	0	n/a	N	0	000000	112	6.93	0.17	1.12	1.76	5644	112	n/a	140	112	n/a	996	112	n/a	1604	112	n/a	
9	6292236	n/a	0	0	n/a	N	0	000000	124	6.56	0.05	0.17	0.79	4736	124	n/a	56	120	n/a	148	124	n/a	856	124	n/a	
10	6292318	n/a	0	0	n/a	N	0	000000	60	3.22	0.09	0.85	3.16	4736	60	n/a	144	60	n/a	1544	60	n/a	5360	60	n/a	
11	6292450	n/a	0	0	n/a	N	0	000000	116	7.24	0.06	0.12	0.36	6188	116	n/a	76	116	n/a	140	116	n/a	752	108	n/a	
12	6292468	n/a	0	0	n/a	N	0	000000	68	4.04	0.04	0.11	0.60	5548	68	n/a	76	68	n/a	168	68	n/a	980	68	n/a	
13	6292513	n/a	0	0	n/a	N	0	111000	1872	1141	31.1	327	1343	62196	1872	n/a	1900	1872	n/a	19044	1872	n/a	65532	1872	n/a	
14	6292514	n/a	0	0	n/a	N	0	111000	1688	877	7.20	129	811	51872	1688	n/a	540	1668	n/a	8072	1688	n/a	56584	1688	n/a	
15	6292515	n/a	0	0	n/a	N	0	111001	1340	927	18.6	251	837	65532	1340	n/a	1476	1340	n/a	20028	1340	n/a	65532	1340	n/a	
16	6292562	n/a	0	0	n/a	N	0	000000	140	6.59	0.06	0.18	0.18	4312	140	n/a	68	136	n/a	144	140	n/a	312	112	n/a	
17	6292610	n/a	0	0	n/a	N	0	000000	68	3.02	0.02	0.03	0.22	3660	68	n/a	56	60	n/a	68	64	n/a	464	68	n/a	
18	6292678	n/a	0	0	n/a	N	0	111000	1564	636	4.54	81.0	618	41552	1564	n/a	352	1564	n/a	5952	1564	n/a	43016	1564	n/a	
19	6292732	n/a	0	0	n/a	N	0	111000	1220	826	28.6	399	956	65532	1220	n/a	2372	1220	n/a	36664	1220	n/a	65532	1220	n/a	
20	6292735	n/a	0	0	n/a	N	0	111000	2136	1374	15.4	290	1372	65488	2136	n/a	1276	2028	n/a	18860	2136	n/a	65532	2136	n/a	
21	6292769	n/a	0	0	n/a	N	0	111000	1724	717	16.8	220	1086	52084	1724	n/a	1300	1684	n/a	17960	1724	n/a	65532	1724	n/a	
22	6292809	n/a	0	0	n/a	N	0	000000	72	4.13	0.02	0.07	0.31	5340	72	n/a	60	68	n/a	100	72	n/a	652	72	n/a	
23	6292812	n/a	0	0	n/a	N	0	111000	1672	1085	24.5	290	1149	65532	1672	n/a	1912	1644	n/a	21488	1672	n/a	65532	1672	n/a	
24	6292815	n/a	0	0	n/a	N	0	000000	3344	1427	23.7	350	1425	63004	3344	n/a	1400	3224	n/a	19076	3344	n/a	65532	3344	n/a	
25	6292832	n/a	0	0	n/a	N	0	000000	104	6.42	0.04	0.11	0.13	5792	104	n/a	64	100	n/a	136	104	n/a	368	64	n/a	
26	6292876	n/a	0	0	n/a	N	0	000000	248	18.5	0.15	0.30	2.93	7940	248	n/a	80	248	n/a	168	248	n/a	1536	248	n/a	
27	6292903	n/a	0	0	n/a	N	0	000000	3116	1903	14.0	187	1217	65532	3116	n/a	560	3028	n/a	7800	3116	n/a	55532	3116	n/a	
28	6292903	n/a	0	0	n/a	N	0	111000	1564	776	4.37	127	841	55264	1564	n/a	440	1420	n/a	11328	1564	n/a	65532	1564	n/a	
