Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	2120918	n/a	0	0	n/a	N	0	000000	68	3.29	0.03	0.07	0.14	4224	68	n/a	60	68	n/a	104	68	n/a	356	60	n/a	
2	2120918	n/a	0	0	n/a	N	0	000000	220	12.9	0.13	0.19	0.16	5392	220	n/a	76	220	n/a	104	220	n/a	356	116	n/a	
3	2122298	n/a	0	0	n/a	N	0	000000	224	12.6	0.13	0.25	0.34	5980	224	n/a	72	224	n/a	132	224	n/a	400	192	n/a	
4	2123212	n/a	0	0	n/a	N	0	000000	304	34.8	0.79	0.49	1.76	12204	304	n/a	280	304	n/a	180	304	n/a	928	304	n/a	
5	2128717	n/a	0	0	n/a	N	0	000000	72	3.52	0.06	0.19	0.43	4252	72	n/a	108	72	n/a	256	72	n/a	684	72	n/a	
6	2129977	n/a	0	0	n/a	N	0	000000	64	3.29	0.03	0.04	0.03	4536	64	n/a	56	64	n/a	68	64	n/a	140	32	n/a	
7	2130304	n/a	0	0	n/a	N	0	000000	92	5.30	0.04	0.06	0.51	5236	92	n/a	64	92	n/a	92	92	n/a	684	92	n/a	
8	2133690	n/a	0	0	n/a	N	0	000000	104	5.08	0.08	0.74	2.16	5044	104	n/a	88	104	n/a	748	104	n/a	2708	104	n/a	
9	2136461	n/a	0	0	n/a	N	0	000000	224	24.6	0.10	0.15	0.04	11012	224	n/a	64	224	n/a	84	224	n/a	152	60	n/a	
10	2138907	n/a	0	0	n/a	N	0	000000	200	17.7	0.10	0.13	0.78	8512	200	n/a	72	200	n/a	76	200	n/a	572	200	n/a	
11	2139907	n/a	0	0	n/a	N	0	000000	88	5.25	0.03	0.05	0.37	5480	88	n/a	52	84	n/a	96	88	n/a	580	88	n/a	
12	2143022	n/a	0	0	n/a	N	0	000000	100	6.09	0.14	0.61	0.76	5684	100	n/a	152	100	n/a	604	100	n/a	1132	100	n/a	
13	2144604	n/a	0	0	n/a	N	0	000000	188	11.7	0.48	2.65	21.9	5860	188	n/a	264	188	n/a	1588	188	n/a	25928	188	n/a	
14	2149317	n/a	0	0	n/a	N	0	000000	188	18.7	0.12	0.16	0.02	9772	188	n/a	72	188	n/a	120	188	n/a	156	24	n/a	
15	2150122	n/a	0	0	n/a	N	0	000000	600	144	0.53	0.70	3.44	24260	600	n/a	168	600	n/a	292	600	n/a	892	600	n/a	
16	2150880	n/a	0	0	n/a	N	0	000000	88	4.60	0.04	0.06	0.26	4636	88	n/a	68	88	n/a	88	88	n/a	452	88	n/a	
17	2150880	n/a	0	0	n/a	N	0	000000	188	12.4	0.10	0.16	0.73	6784	188	n/a	72	188	n/a	108	188	n/a	484	188	n/a	
18	2152788	n/a	0	0	n/a	N	0	000000	120	5.89	0.04	0.07	0.11	4208	120	n/a	64	120	n/a	72	120	n/a	440	72	n/a	
19	2156158	n/a	0	0	n/a	N	0	000000	132	9.76	0.07	0.10	0.11	7144	132	n/a	68	132	n/a	96	132	n/a	324	80	n/a	
20	2157148	n/a	0	0	n/a	N	0	000000	156	13.3	0.08	0.11	0.21	8276	156	n/a	68	156	n/a	104	156	n/a	332	120	n/a	
21	2159599	n/a	0	0	n/a	N	0	000000	240	14.5	0.10	0.15	0.59	5768	240	n/a	64	236	n/a	84	240	n/a	532	216	n/a	
22	2160834	n/a	0	0	n/a	N	0	000000	360	17.7	0.19	0.21	0.35	5372	360	n/a	84	352	n/a	76	356	n/a	360	264	n/a	
23	2161342	n/a	0	0	n/a	N	0	000000	228	16.9	2.47	2.43	0.24	7232	228	n/a	1228	228	n/a	1144	228	n/a	348	140	n/a	
