Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	6948675	n/a	0	0	n/a	N	0	000000	3504	2173	196	2031	2431	65532	3504	n/a	7964	3388	n/a	65532	3500	n/a	65532	3504	n/a	
2	6948886	n/a	0	0	n/a	N	0	000000	224	34.5	0.13	0.14	0.07	18448	224	n/a	68	224	n/a	84	220	n/a	212	52	n/a	
3	6948927	n/a	0	0	n/a	N	0	000000	156	8.63	0.09	0.11	0.00	5192	156	n/a	84	156	n/a	96	156	n/a	0	0	n/a	
4	6948967	n/a	0	0	n/a	N	0	000000	10560	6890	55.2	1742	7338	64148	10560	n/a	820	10456	n/a	23220	10512	n/a	65532	10540	n/a	
5	6949228	n/a	0	0	n/a	N	0	000000	116	5.35	0.07	0.09	0.01	3980	116	n/a	88	116	n/a	92	116	n/a	160	8	n/a	
6	6949780	n/a	0	0	n/a	N	0	000000	88	4.97	0.07	0.38	2.49	5256	88	n/a	96	88	n/a	504	88	n/a	2992	88	n/a	
7	6950442	n/a	0	0	n/a	N	0	000000	528	124	0.53	1.74	13.8	26684	528	n/a	120	528	n/a	444	528	n/a	3524	528	n/a	
8	6951072	n/a	0	0	n/a	N	0	100000	700	329	13.5	33.9	134	57304	700	n/a	2560	700	n/a	7224	700	n/a	27600	700	n/a	
9	6951175	n/a	0	0	n/a	N	0	000000	184	10.1	0.10	0.11	0.17	4976	184	n/a	68	184	n/a	84	184	n/a	516	100	n/a	
10	6951258	n/a	0	0	n/a	N	0	000000	528	37.8	0.27	0.32	0.01	6752	528	n/a	68	524	n/a	92	528	n/a	56	8	n/a	
11	6951396	n/a	0	0	n/a	N	0	000000	100	6.12	0.06	0.09	0.06	5816	100	n/a	76	100	n/a	100	100	n/a	300	56	n/a	
12	6951580	n/a	0	0	n/a	N	0	111000	1780	1055	29.6	413	1159	65532	1780	n/a	6140	1764	n/a	40784	1780	n/a	65532	1780	n/a	
13	6951581	n/a	0	0	n/a	N	0	101000	2360	881	10.1	235	1199	52796	2360	n/a	556	2320	n/a	13724	2360	n/a	65532	2360	n/a	
14	6951966	n/a	0	0	n/a	N	0	000000	1588	400	2.80	51.7	335	28968	1588	n/a	212	1564	n/a	4424	1588	n/a	31540	1588	n/a	
15	6952154	n/a	0	0	n/a	N	0	000000	192	14.2	0.18	0.95	2.24	7636	192	n/a	132	192	n/a	720	192	n/a	1480	192	n/a	
16	6952442	n/a	0	0	n/a	N	0	000000	68	3.47	0.08	0.41	1.41	4556	68	n/a	116	68	n/a	604	68	n/a	2224	68	n/a	
17	6953029	n/a	0	0	n/a	N	0	111000	1200	773	11.2	130	774	65532	1200	n/a	1164	1148	n/a	13788	1200	n/a	65532	1200	n/a	
18	6953047	n/a	0	0	n/a	N	0	000000	192	12.7	0.08	0.10	0.12	7208	192	n/a	64	188	n/a	72	192	n/a	248	104	n/a	
19	6953297	n/a	0	0	n/a	N	0	111000	1588	1044	4.32	60.7	570	65532	1588	n/a	460	1552	n/a	7684	1580	n/a	64564	1588	n/a	
20	6953372	n/a	0	0	n/a	N	0	000000	236	14.2	0.15	0.14	1.06	5504	236	n/a	84	236	n/a	80	236	n/a	688	236	n/a	
21	6953513	n/a	0	0	n/a	N	0	000000	2692	805	3.45	37.4	223	30364	2692	n/a	268	2684	n/a	4524	2692	n/a	24084	2692	n/a	
22	6953901	n/a	0	0	n/a	N	0	000000	2140	561	6.47	44.0	227	37496	2140	n/a	428	2112	n/a	3440	2128	n/a	14004	2140	n/a	
