Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	4896580	n/a	0	0	n/a	N	0	000000	472	33.4	0.16	1.87	9.69	6924	472	n/a	60	460	n/a	400	472	n/a	2144	472	n/a	
2	4897346	n/a	0	0	n/a	N	0	000000	256	18.4	0.08	0.08	0.07	7592	256	n/a	56	248	n/a	52	248	n/a	116	184	n/a	
3	4899727	n/a	0	0	n/a	N	0	000000	168	11.7	0.04	0.06	0.07	7024	168	n/a	52	148	n/a	56	164	n/a	108	144	n/a	
4	4904169	n/a	0	0	n/a	N	0	000000	168	10.8	0.06	0.17	0.61	6172	168	n/a	60	160	n/a	124	168	n/a	424	168	n/a	
5	4908315	n/a	0	0	n/a	N	0	000000	136	7.50	0.04	0.06	0.04	5024	136	n/a	68	132	n/a	56	136	n/a	148	68	n/a	
6	4913289	n/a	0	0	n/a	N	0	000000	112	5.38	0.03	0.11	0.27	4148	112	n/a	52	108	n/a	116	112	n/a	280	112	n/a	
7	4914672	n/a	0	0	n/a	N	0	000000	288	29.3	0.08	0.12	0.35	11796	288	n/a	44	260	n/a	68	288	n/a	220	280	n/a	
8	4921877	n/a	0	0	n/a	N	0	000000	388	31.7	0.13	0.16	0.19	9460	388	n/a	60	360	n/a	76	364	n/a	244	232	n/a	
9	4929699	n/a	0	0	n/a	N	0	111000	1460	893	0.46	64.5	236	65532	1460	n/a	68	1388	n/a	5872	1448	n/a	22964	1460	n/a	
10	4941124	n/a	0	0	n/a	N	0	000000	196	10.1	0.05	0.26	0.84	4528	196	n/a	56	172	n/a	148	196	n/a	512	196	n/a	
11	4941524	n/a	0	0	n/a	N	0	000000	116	5.50	0.04	0.14	0.50	4072	116	n/a	52	100	n/a	124	116	n/a	472	116	n/a	
12	4944743	n/a	0	0	n/a	N	0	000000	320	30.4	0.09	1.05	5.19	10888	320	n/a	60	300	n/a	456	320	n/a	2468	320	n/a	
13	4946146	n/a	0	0	n/a	N	0	000000	100	5.32	0.03	0.60	4.23	4828	100	n/a	64	84	n/a	556	100	n/a	4064	100	n/a	
14	4947992	n/a	0	0	n/a	N	0	000000	108	4.87	0.04	0.04	0.03	3796	108	n/a	44	108	n/a	56	96	n/a	96	52	n/a	
15	4948135	n/a	0	0	n/a	N	0	000000	932	176	0.27	2.38	20.8	19572	932	n/a	68	792	n/a	396	932	n/a	2720	932	n/a	
16	4948857	n/a	0	0	n/a	N	0	000000	356	37.1	0.11	0.33	1.70	11568	356	n/a	52	324	n/a	128	356	n/a	640	356	n/a	
17	4950314	n/a	0	0	n/a	N	0	111000	1956	787	0.62	96.6	342	48244	1956	n/a	72	1832	n/a	7608	1912	n/a	24912	1952	n/a	
18	4950314	n/a	0	0	n/a	N	0	000000	156	7.68	0.05	0.00	0.00	4344	156	n/a	48	152	n/a	0	0	n/a	36	8	n/a	
19	4950320	n/a	0	0	n/a	N	0	000000	4160	1475	1.34	83.0	444	54648	4160	n/a	76	3944	n/a	4380	4160	n/a	20356	4160	n/a	
20	4950323	n/a	0	0	n/a	N	0	111000	1608	620	0.56	101	283	43120	1608	n/a	64	1552	n/a	9440	1608	n/a	25312	1608	n/a	
21	4950324	n/a	0	0	n/a	N	0	100000	1616	513	0.52	52.4	196	35856	1616	n/a	68	1540	n/a	4516	1616	n/a	15832	1616	n/a	
22	4950325	n/a	0	0	n/a	N	0	000000	3280	1096	1.09	135	566	40476	3280	n/a	76	3144	n/a	7976	3180	n/a	27104	3244	n/a	
23	4950326	n/a	0	0	n/a	N	0	100000	2128	680	0.69	43.1	197	50316	2128	n/a	68	2020	n/a	5116	1264	n/a	21312	1456	n/a	
24	4950326	n/a	0	0	n/a	N	0	000000	2336	758	0.80	35.5	148	35580	2336	n/a	64	2252	n/a	2340	2276	n/a	9140	2332	n/a	
25	4950329	n/a	0	0	n/a	N	0	000000	4924	796	1.57	51.2	249	36900	4924	n/a	72	4616	n/a	3828	2636	n/a	17036	4064	n/a	
26	4950333	n/a	0	0	n/a	N	0	000000	3968	1754	1.36	145	541	51656	3968	n/a	76	3820	n/a	8428	3744	n/a	25936	3964	n/a	
27	4950334	n/a	0	0	n/a	N	0	111000	1628	902	0.56	67.8	325	59448	1628	n/a	72	1556	n/a	6148	1608	n/a	25848	1628	n/a	
28	4950334	n/a	0	0	n/a	N	0	000000	3084	1145	1.00	122	320	51612	3084	n/a	72	2944	n/a	7640	2360	n/a	16352	2492	n/a	
29	4950334	n/a	0	0	n/a	N	0	101000	2332	867	0.77	40.9	192	40944	2332	n/a	68	2204	n/a	2736	2208	n/a	12216	2248	n/a	
30	4950347	n/a	0	0	n/a	N	0	000000	104	5.61	0.03	0.04	0.18	4924	104	n/a	44	88	n/a	52	100	n/a	268	104	n/a	
31	4950389	n/a	0	0	n/a	N	0	000000	296	19.5	0.08	0.15	0.42	6240	296	n/a	68	268	n/a	72	292	n/a	236	272	n/a	
32	4950390	n/a	0	0	n/a	N	0	111000	2076	792	0.76	124	343	46828	2076	n/a	68	1984	n/a	9500	1972	n/a	22536	2076	n/a	
33	4950393	n/a	0	0	n/a	N	0	111000	2016	722	0.74	136	285	37144	2016	n/a	68	1956	n/a	9212	2016	n/a	17328	2016	n/a	
34	4950393	n/a	0	0	n/a	N	0	000000	2132	267	0.69	43.0	108	13872	2132	n/a	72	2012	n/a	2456	2132	n/a	5736	2132	n/a	
35	4950394	n/a	0	0	n/a	N	0	111000	1588	666	0.49	85.1	245	46788	1588	n/a	68	1448	n/a	7792	1536	n/a	18788	1576	n/a	
36	4950395	n/a	0	0	n/a	N	0	111000	1732	723	0.58	65.8	257	48736	1732	n/a	72	1648	n/a	5596	1552	n/a	21852	1596	n/a	
37	4950397	n/a	0	0	n/a	N	0	100000	1344	447	0.46	78.8	206	35696	1344	n/a	68	1304	n/a	9132	1344	n/a	20192	1344	n/a	
38	4950397	n/a	0	0	n/a	N	0	000000	212	14.0	0.08	0.56	2.63	6376	212	n/a	60	208	n/a	296	212	n/a	1412	212	n/a	
39	4950401	n/a	0	0	n/a	N	0	000000	5152	1301	1.66	98.2	408	56584	5152	n/a	68	4948	n/a	7000	3520	n/a	24064	4960	n/a	
40	4950401	n/a	0	0	n/a	N	0	000000	208	9.40	0.05	0.00	0.13	3864	208	n/a	72	176	n/a	0	0	n/a	280	124	n/a	
41	4950407	n/a	0	0	n/a	N	0	111000	1968	878	0.67	123	444	46228	1968	n/a	80	1904	n/a	8316	1968	n/a	28440	1968	n/a	
42	4953281	n/a	0	0	n/a	N	0	111000	1236	664	0.38	23.7	134	58452	1236	n/a	64	1164	n/a	2820	1216	n/a	15548	1236	n/a	
43	4953283	n/a	0	0	n/a	N	0	000000	4944	1277	1.51	92.6	435	32736	4944	n/a	60	4644	n/a	3676	4728	n/a	13860	4944	n/a	
44	4953283	n/a	0	0	n/a	N	0	100000	2248	685	0.69	52.7	188	32316	2248	n/a	60	2096	n/a	3572	2216	n/a	12168	2244	n/a	
45	4953287	n/a	0	0	n/a	N	0	000000	4896	2177	1.71	250	1031	65532	4896	n/a	68	4736	n/a	6724	4840	n/a	29680	4896	n/a	
