Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	6061957	n/a	0	0	n/a	N	0	000000	1200	250	0.62	5.47	132	22676	1200	n/a	88	1184	n/a	588	1200	n/a	13340	1200	n/a	
2	6062032	n/a	0	0	n/a	N	0	000010	928	75.0	1.01	7.70	47.1	7748	928	n/a	172	928	n/a	904	928	n/a	6300	928	n/a	
3	6062041	n/a	0	0	n/a	N	0	000000	1660	208	1.89	21.0	164	14864	1660	n/a	172	1636	n/a	1620	1660	n/a	13480	1660	n/a	
4	6063934	n/a	0	0	n/a	N	0	000000	228	13.7	0.18	1.51	18.9	6040	228	n/a	100	228	n/a	796	228	n/a	9128	228	n/a	
5	6065541	n/a	0	0	n/a	N	0	000010	1308	120	1.34	26.5	337	9292	1308	n/a	152	1304	n/a	2520	1308	n/a	28020	1308	n/a	
6	6065549	n/a	0	0	n/a	N	0	000000	680	57.6	0.62	7.68	118	9772	680	n/a	132	680	n/a	1548	680	n/a	22052	680	n/a	
7	6065553	n/a	0	0	n/a	N	0	000000	4040	819	5.93	119	1495	27952	4040	n/a	416	3708	n/a	4868	4040	n/a	65532	4040	n/a	
8	6065642	n/a	0	0	n/a	N	0	000000	1912	257	3.30	48.9	550	22460	1912	n/a	324	1912	n/a	3760	1912	n/a	37656	1912	n/a	
9	6065642	n/a	0	0	n/a	N	0	000000	760	36.4	0.15	0.30	23.4	4180	760	n/a	44	600	n/a	80	716	n/a	3260	760	n/a	
10	6065724	n/a	0	0	n/a	N	0	000000	176	7.80	0.08	0.33	7.05	3680	176	n/a	56	176	n/a	184	176	n/a	3528	176	n/a	
11	6065727	n/a	0	0	n/a	N	0	000000	132	5.84	0.03	0.05	1.08	3700	132	n/a	40	104	n/a	60	132	n/a	996	132	n/a	
12	6065727	n/a	0	0	n/a	N	0	000000	1412	273	1.34	17.9	339	27092	1412	n/a	136	1388	n/a	1756	1412	n/a	33316	1412	n/a	
13	6065730	n/a	0	0	n/a	N	0	000000	1408	210	1.21	18.5	326	18516	1408	n/a	120	1404	n/a	1952	1408	n/a	32976	1408	n/a	
14	6065730	n/a	0	0	n/a	N	0	000000	700	42.5	0.18	3.02	89.1	5848	700	n/a	56	620	n/a	608	700	n/a	15552	700	n/a	
15	6065730	n/a	0	0	n/a	N	0	000000	852	52.1	0.20	0.53	29.9	5788	852	n/a	52	756	n/a	156	588	n/a	4772	852	n/a	
16	6065731	n/a	0	0	n/a	N	0	000010	1076	85.0	0.95	14.5	195	8884	1076	n/a	120	1076	n/a	1516	1076	n/a	19524	1076	n/a	
17	6065731	n/a	0	0	n/a	N	0	000010	960	102	0.48	6.23	142	10576	960	n/a	88	944	n/a	1016	960	n/a	21696	960	n/a	
18	6065732	n/a	0	0	n/a	N	0	000010	1136	121	0.57	4.02	111	10396	1136	n/a	76	1132	n/a	552	1136	n/a	12568	1136	n/a	
19	6065733	n/a	0	0	n/a	N	0	000000	1512	132	1.26	30.4	622	8692	1512	n/a	132	1500	n/a	2532	1512	n/a	47600	1512	n/a	
20	6065733	n/a	0	0	n/a	N	0	000000	624	59.3	1.01	6.56	17.1	9496	624	n/a	228	624	n/a	1228	624	n/a	3024	624	n/a	
21	6065735	n/a	0	0	n/a	N	0	000000	1432	190	1.60	49.1	824	14292	1432	n/a	152	1416	n/a	4260	1432	n/a	65532	1432	n/a	
22	6065735	n/a	0	0	n/a	N	0	000000	1360	215	0.68	10.9	198	17700	1360	n/a	120	1176	n/a	1152	1328	n/a	17272	1360	n/a	
23	6065735	n/a	0	0	n/a	N	0	000010	1272	101	0.25	1.74	104	9728	1272	n/a	52	964	n/a	360	792	n/a	12724	1272	n/a	
24	6065870	n/a	0	0	n/a	N	0	000010	1136	133	1.05	21.4	303	11844	1136	n/a	136	1136	n/a	2320	1136	n/a	30896	1136	n/a	
25	6065871	n/a	0	0	n/a	N	0	000000	684	76.9	0.62	15.9	244	11148	684	n/a	132	684	n/a	2932	684	n/a	41592	684	n/a	
26	6065873	n/a	0	0	n/a	N	0	000010	1244	137	0.86	17.6	358	11992	1244	n/a	120	1200	n/a	2304	1188	n/a	42756	1244	n/a	
27	6065881	n/a	0	0	n/a	N	0	000000	1588	84.0	0.90	5.15	105	5044	1588	n/a	96	1584	n/a	364	1588	n/a	9280	1588	n/a	
28	6065882	n/a	0	0	n/a	N	0	000000	2080	249	1.95	44.9	643	15844	2080	n/a	148	2040	n/a	3408	2076	n/a	45604	2080	n/a	
29	6065883	n/a	0	0	n/a	N	0	000010	984	58.7	0.80	8.77	162	5228	984	n/a	112	984	n/a	924	984	n/a	17120	984	n/a	
30	6065883	n/a	0	0	n/a	N	0	000000	1424	202	1.00	19.4	257	23980	1424	n/a	244	1316	n/a	3444	1416	n/a	31728	1424	n/a	
31	6065884	n/a	0	0	n/a	N	0	000000	1488	228	1.38	24.9	357	19128	1488	n/a	196	1076	n/a	2948	1464	n/a	35116	1488	n/a	
32	6065885	n/a	0	0	n/a	N	0	000010	1208	79.6	0.72	10.7	230	6348	1208	n/a	96	1208	n/a	1164	1208	n/a	22896	1208	n/a	
33	6065885	n/a	0	0	n/a	N	0	000000	680	43.7	0.24	1.84	76.9	6320	680	n/a	68	648	n/a	332	680	n/a	13260	680	n/a	
34	6065892	n/a	0	0	n/a	N	0	000000	196	12.7	0.12	0.68	5.02	6212	196	n/a	84	196	n/a	380	196	n/a	2800	196	n/a	
35	6065966	n/a	0	0	n/a	N	0	000000	720	96.2	0.47	6.79	138	15396	720	n/a	100	712	n/a	1432	720	n/a	27312	720	n/a	
36	6065967	n/a	0	0	n/a	N	0	000010	1080	120	0.70	10.2	214	11408	1080	n/a	96	1068	n/a	1192	1080	n/a	24276	1080	n/a	
37	6065967	n/a	0	0	n/a	N	0	000000	1412	164	1.25	14.3	141	12768	1412	n/a	124	1412	n/a	1112	1412	n/a	11848	1412	n/a	
38	6065981	n/a	0	0	n/a	N	0	000010	1228	152	0.97	28.6	344	12420	1228	n/a	108	1224	n/a	3220	1228	n/a	38776	1228	n/a	
39	6066001	n/a	0	0	n/a	N	0	000000	824	79.3	0.77	9.98	175	10080	824	n/a	128	824	n/a	1480	824	n/a	26008	824	n/a	
40	6066001	n/a	0	0	n/a	N	0	000000	700	97.4	0.43	13.0	291	14084	700	n/a	100	700	n/a	3024	700	n/a	61168	700	n/a	
41	6066001	n/a	0	0	n/a	N	0	000010	1244	106	0.33	1.62	86.3	7940	1244	n/a	60	1116	n/a	224	1068	n/a	8376	1244	n/a	
42	6066001	n/a	0	0	n/a	N	0	000000	292	17.0	0.07	0.08	5.94	5508	292	n/a	56	264	n/a	68	236	n/a	2400	292	n/a	
43	6066002	n/a	0	0	n/a	N	0	000000	2036	366	1.15	21.9	518	21276	2036	n/a	96	2020	n/a	1552	1996	n/a	30572	2036	n/a	
44	6066002	n/a	0	0	n/a	N	0	000000	868	110	0.61	8.91	191	13528	868	n/a	116	840	n/a	1556	836	n/a	30900	868	n/a	
45	6066004	n/a	0	0	n/a	N	0	000010	1128	125	0.60	5.95	110	11432	1128	n/a	84	1116	n/a	792	1128	n/a	13996	1128	n/a	
46	6066006	n/a	0	0	n/a	N	0	000010	1168	116	0.65	15.3	291	11288	1168	n/a	104	1128	n/a	1832	1168	n/a	33224	1168	n/a	
47	6066092	n/a	0	0	n/a	N	0	000000	768	41.1	0.60	10.9	185	4796	768	n/a	104	768	n/a	1384	768	n/a	23232	768	n/a	
48	6066095	n/a	0	0	n/a	N	0	000000	908	70.8	0.88	12.5	166	7964	908	n/a	144	908	n/a	1600	908	n/a	20644	908	n/a	
49	6066096	n/a	0	0	n/a	N	0	000000	596	28.7	0.31	4.10	48.3	4132	596	n/a	84	596	n/a	728	596	n/a	7832	596	n/a	
50	6066116	n/a	0	0	n/a	N	0	000010	1160	97.6	0.93	11.2	215	8484	1160	n/a	116	1160	n/a	1156	1160	n/a	22412	1160	n/a	
51	6066123	n/a	0	0	n/a	N	0	000000	1288	286	3.09	62.6	475	23512	1288	n/a	336	1260	n/a	6380	1288	n/a	45728	1288	n/a	
52	6066125	n/a	0	0	n/a	N	0	000010	924	102	0.56	8.58	137	15912	924	n/a	104	916	n/a	1572	924	n/a	23468	924	n/a	
53	6066125	n/a	0	0	n/a	N	0	000000	112	5.38	0.06	0.52	4.98	4124	112	n/a	76	112	n/a	440	112	n/a	4352	112	n/a	
54	6066126	n/a	0	0	n/a	N	0	000000	2936	341	2.84	60.8	800	16408	2936	n/a	272	2788	n/a	5496	2936	n/a	65208	2936	n/a	
55	6066127	n/a	0	0	n/a	N	0	000010	1032	66.8	0.87	8.37	80.2	6396	1032	n/a	124	1032	n/a	928	1032	n/a	9448	1032	n/a	
56	6066171	n/a	0	0	n/a	N	0	000000	668	32.7	0.25	1.40	34.0	4520	668	n/a	60	648	n/a	256	668	n/a	4960	668	n/a	
57	6066176	n/a	0	0	n/a	N	0	000000	696	62.7	0.68	6.68	89.1	9344	696	n/a	152	692	n/a	1184	696	n/a	14788	696	n/a	
58	6066299	n/a	0	0	n/a	N	0	000000	1932	201	1.23	11.1	209	10900	1932	n/a	128	1872	n/a	972	1928	n/a	12904	1932	n/a	
59	6066330	n/a	0	0	n/a	N	0	000010	1008	99.5	0.83	11.2	164	11352	1008	n/a	132	1008	n/a	1552	1008	n/a	19872	1008	n/a	
60	6066331	n/a	0	0	n/a	N	0	000000	1044	242	1.53	23.8	378	29040	1044	n/a	208	1040	n/a	3252	1044	n/a	55860	1044	n/a	
61	6066331	n/a	0	0	n/a	N	0	000000	896	102	0.49	9.43	299	12772	896	n/a	96	856	n/a	1396	896	n/a	47988	896	n/a	
62	6066332	n/a	0	0	n/a	N	0	000010	1020	130	1.27	11.7	150	14600	1020	n/a	232	1012	n/a	1868	1020	n/a	19708	1020	n/a	
63	6066376	n/a	0	0	n/a	N	0	000010	976	69.0	1.05	7.53	56.1	6784	976	n/a	156	976	n/a	940	976	n/a	6756	976	n/a	
64	6066379	n/a	0	0	n/a	N	0	000000	1396	141	1.07	9.96	132	11704	1396	n/a	132	1384	n/a	900	1396	n/a	12068	1396	n/a	
65	6066381	n/a	0	0	n/a	N	0	111000	1276	606	2.41	37.8	521	53164	1276	n/a	276	1240	n/a	3912	1276	n/a	52076	1276	n/a	
66	6066425	n/a	0	0	n/a	N	0	000000	1460	372	4.47	100	383	27040	1460	n/a	388	1428	n/a	9308	1460	n/a	34024	1460	n/a	
67	6066437	n/a	0	0	n/a	N	0	000000	764	66.4	0.41	2.92	21.8	9624	764	n/a	100	732	n/a	716	764	n/a	6140	764	n/a	
68	6066437	n/a	0	0	n/a	N	0	000000	272	13.3	0.09	0.66	22.3	4324	272	n/a	52	256	n/a	240	272	n/a	7100	272	n/a	
69	6066451	n/a	0	0	n/a	N	0	000000	1388	257	1.39	30.6	521	18308	1388	n/a	172	1380	n/a	2552	1388	n/a	45812	1388	n/a	
70	6066453	n/a	0	0	n/a	N	0	000000	1076	185	2.35	67.7	705	19760	1076	n/a	340	1068	n/a	8920	1076	n/a	65532	1076	n/a	
71	6066453	n/a	0	0	n/a	N	0	000000	1028	224	0.40	3.41	85.4	25008	1028	n/a	76	988	n/a	408	988	n/a	9468	1028	n/a	
72	6066470	n/a	0	0	n/a	N	0	000010	1016	167	2.10	19.9	101	17420	1016	n/a	272	992	n/a	2452	1016	n/a	13200	1016	n/a	
73	6066515	n/a	0	0	n/a	N	0	000000	76	3.28	0.06	0.31	0.74	3556	76	n/a	92	76	n/a	364	76	n/a	1192	76	n/a	
74	6066516	n/a	0	0	n/a	N	0	000000	80	3.46	0.03	0.14	2.76	3572	80	n/a	48	76	n/a	176	80	n/a	3296	80	n/a	
75	6066517	n/a	0	0	n/a	N	0	000010	984	67.4	0.65	6.86	91.2	6936	984	n/a	100	980	n/a	832	984	n/a	9984	984	n/a	
76	6066519	n/a	0	0	n/a	N	0	000000	532	26.8	0.21	0.37	3.25	4608	532	n/a	72	516	n/a	196	480	n/a	1036	532	n/a	
77	6066519	n/a	0	0	n/a	N	0	000000	180	8.16	0.12	0.87	15.6	3832	180	n/a	88	180	n/a	444	180	n/a	7868	180	n/a	
78	6066522	n/a	0	0	n/a	N	0	000000	228	12.6	0.24	1.96	4.86	5040	228	n/a	128	228	n/a	840	228	n/a	2340	228	n/a	
79	6066536	n/a	0	0	n/a	N	0	000000	284	22.2	0.23	1.80	4.10	8508	284	n/a	116	284	n/a	880	284	n/a	2284	284	n/a	
80	6066543	n/a	0	0	n/a	N	0	000010	1228	163	1.39	19.9	200	13692	1228	n/a	160	1224	n/a	2004	1228	n/a	20016	1228	n/a	
81	6066546	n/a	0	0	n/a	N	0	100000	1164	389	5.29	125	638	37172	1164	n/a	588	1116	n/a	13692	1164	n/a	65532	1164	n/a	
82	6066568	n/a	0	0	n/a	N	0	000000	904	49.2	0.79	12.5	131	4844	904	n/a	120	904	n/a	1428	904	n/a	14544	904	n/a	
83	6066579	n/a	0	0	n/a	N	0	000010	1292	139	1.29	10.8	86.8	11436	1292	n/a	136	1292	n/a	996	1292	n/a	8524	1292	n/a	
84	6066581	n/a	0	0	n/a	N	0	000010	1148	167	1.37	15.2	197	19048	1148	n/a	220	1120	n/a	2184	1124	n/a	29592	1148	n/a	
85	6066582	n/a	0	0	n/a	N	0	000000	848	81.0	0.61	6.35	82.9	10132	848	n/a	108	848	n/a	884	848	n/a	11144	848	n/a	
86	6066583	n/a	0	0	n/a	N	0	000000	628	43.6	0.26	2.00	44.6	6596	628	n/a	76	592	n/a	452	628	n/a	8568	628	n/a	
87	6066584	n/a	0	0	n/a	N	0	000000	2164	317	2.36	35.6	492	23940	2164	n/a	192	2000	n/a	2368	2164	n/a	42480	2164	n/a	
88	6066592	n/a	0	0	n/a	N	0	000000	656	57.1	0.29	1.19	29.2	8692	656	n/a	80	636	n/a	240	656	n/a	5792	656	n/a	
89	6066621	n/a	0	0	n/a	N	0	000000	624	36.1	0.39	4.42	98.1	5600	624	n/a	84	620	n/a	748	624	n/a	16308	624	n/a	
90	6066622	n/a	0	0	n/a	N	0	000000	432	20.5	0.26	2.34	57.9	4088	432	n/a	80	432	n/a	516	432	n/a	13116	432	n/a	
91	6066627	n/a	0	0	n/a	N	0	000000	124	6.46	0.24	2.22	6.94	4636	124	n/a	204	124	n/a	1764	124	n/a	5452	124	n/a	
92	6066646	n/a	0	0	n/a	N	0	000000	656	42.2	0.33	3.98	77.4	6280	656	n/a	80	652	n/a	688	656	n/a	12428	656	n/a	
93	6066647	n/a	0	0	n/a	N	0	000000	632	30.5	0.50	4.06	52.2	4188	632	n/a	116	632	n/a	672	632	n/a	8300	632	n/a	
94	6066667	n/a	0	0	n/a	N	0	000010	940	135	0.73	20.8	358	16612	940	n/a	120	932	n/a	2720	940	n/a	42644	940	n/a	
