Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	7911610	n/a	0	0	n/a	N	0	0000	284	18.6	0.09	0.08	0.20	7004	284	n/a	64	280	n/a	44	256	n/a	232	232	n/a	
2	7930191	n/a	0	0	n/a	N	0	0000	304	20.7	0.12	0.09	0.23	6356	304	n/a	56	296	n/a	52	292	n/a	212	260	n/a	
3	7930191	n/a	0	0	n/a	N	0	0000	420	34.3	0.14	0.09	0.33	8264	420	n/a	60	412	n/a	52	372	n/a	208	384	n/a	
4	7930192	n/a	0	0	n/a	N	0	0000	132	6.74	0.04	0.03	0.14	4508	132	n/a	48	124	n/a	44	112	n/a	196	124	n/a	
5	7931171	n/a	0	0	n/a	N	0	0000	352	21.6	0.19	0.43	1.26	5888	352	n/a	72	352	n/a	132	352	n/a	468	352	n/a	
6	7933983	n/a	0	0	n/a	N	0	0000	60	2.64	0.02	0.01	0.02	3668	60	n/a	64	56	n/a	40	48	n/a	132	40	n/a	
7	7935233	n/a	0	0	n/a	N	0	0000	848	53.4	8.49	7.53	0.96	5872	848	n/a	1116	848	n/a	1060	848	n/a	244	808	n/a	
8	7935431	n/a	0	0	n/a	N	0	0000	324	23.5	0.19	0.71	2.78	6964	324	n/a	84	324	n/a	260	324	n/a	1068	324	n/a	
9	7936889	n/a	0	0	n/a	N	0	0000	156	8.66	0.04	0.08	0.35	5148	156	n/a	48	136	n/a	68	156	n/a	312	156	n/a	
10	7937659	n/a	0	0	n/a	N	0	0000	148	8.44	0.07	0.16	0.58	5372	148	n/a	68	144	n/a	116	148	n/a	480	148	n/a	
11	7937867	n/a	0	0	n/a	N	0	0000	92	4.50	0.03	0.02	0.05	4240	92	n/a	52	92	n/a	48	76	n/a	88	88	n/a	
12	7939604	n/a	0	0	n/a	N	0	0000	68	3.05	0.04	0.06	0.36	3756	68	n/a	80	68	n/a	112	68	n/a	608	68	n/a	
13	7941509	n/a	0	0	n/a	N	0	0000	528	66.4	0.41	0.57	1.06	14408	528	n/a	124	528	n/a	164	528	n/a	380	504	n/a	
14	7942273	n/a	0	0	n/a	N	0	0000	356	19.4	0.19	1.57	4.28	4996	356	n/a	68	356	n/a	444	356	n/a	1328	356	n/a	
15	7943297	n/a	0	0	n/a	N	0	0000	148	8.42	0.07	0.12	0.52	5088	148	n/a	76	148	n/a	88	148	n/a	468	148	n/a	
