Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	8668964	n/a	0	0	n/a	N	0	0000	204	9.73	0.83	0.17	0.31	4076	204	n/a	404	204	n/a	100	204	n/a	224	204	n/a	
2	8671710	n/a	0	0	n/a	N	0	0000	192	16.1	0.19	0.95	2.29	9060	192	n/a	152	192	n/a	716	192	n/a	1544	192	n/a	
3	8674726	n/a	0	0	n/a	N	0	0000	532	55.6	0.19	0.14	0.46	12992	532	n/a	60	520	n/a	52	460	n/a	280	436	n/a	
4	8674726	n/a	0	0	n/a	N	0	0000	180	9.31	0.07	0.06	0.14	4528	180	n/a	56	176	n/a	52	168	n/a	144	152	n/a	
5	8676797	n/a	0	0	n/a	N	0	0000	252	21.3	0.09	0.05	0.17	9028	252	n/a	60	240	n/a	44	192	n/a	208	176	n/a	
6	8680238	n/a	0	0	n/a	N	0	0000	156	9.82	0.05	0.03	0.03	6160	156	n/a	40	156	n/a	40	132	n/a	88	60	n/a	
7	8680329	n/a	0	0	n/a	N	0	0000	256	17.8	0.13	0.76	6.41	6864	256	n/a	72	256	n/a	300	256	n/a	2708	256	n/a	
8	8680628	n/a	0	0	n/a	N	0	0000	144	8.69	0.07	0.24	0.53	5752	144	n/a	60	140	n/a	176	144	n/a	488	144	n/a	
9	8682192	n/a	0	0	n/a	N	0	0000	228	11.6	0.08	0.04	0.19	4612	228	n/a	56	200	n/a	48	168	n/a	216	200	n/a	
10	8683298	n/a	0	0	n/a	N	0	0000	276	17.9	0.19	0.95	3.21	6320	276	n/a	92	276	n/a	344	276	n/a	1280	276	n/a	
11	8684190	n/a	0	0	n/a	N	0	0000	304	24.8	0.41	2.04	4.32	8984	304	n/a	260	304	n/a	1080	304	n/a	2076	304	n/a	
12	8687041	n/a	0	0	n/a	N	0	0000	72	3.26	0.02	0.02	0.14	3792	72	n/a	48	72	n/a	40	72	n/a	216	72	n/a	
13	8687041	n/a	0	0	n/a	N	0	0000	232	14.3	0.08	0.09	0.19	5804	232	n/a	60	228	n/a	64	232	n/a	196	204	n/a	
14	8687788	n/a	0	0	n/a	N	0	0000	72	3.35	0.04	0.07	0.12	3968	72	n/a	72	72	n/a	124	72	n/a	232	72	n/a	
15	8691841	n/a	0	0	n/a	N	0	0000	96	5.20	0.08	0.17	0.33	4996	96	n/a	108	96	n/a	216	96	n/a	424	96	n/a	
16	8697374	n/a	0	0	n/a	N	0	1000	1680	716	4.18	99.7	387	45080	1680	n/a	356	1636	n/a	8140	1680	n/a	30584	1680	n/a	
17	8697375	n/a	0	0	n/a	N	0	1000	1692	826	3.78	63.2	289	51296	1692	n/a	332	1656	n/a	5112	1684	n/a	22152	1692	n/a	
18	8697376	n/a	0	0	n/a	N	0	1000	1360	641	5.38	238	814	53668	1360	n/a	648	1260	n/a	25872	1360	n/a	65532	1360	n/a	
19	8697377	n/a	0	0	n/a	N	0	1000	2528	1515	5.14	195	1093	65532	2528	n/a	304	2320	n/a	11352	2468	n/a	65532	2520	n/a	
20	8697377	n/a	0	0	n/a	N	0	1000	1860	681	1.69	46.4	268	39720	1860	n/a	168	1744	n/a	3500	1800	n/a	19340	1840	n/a	
21	8697380	n/a	0	0	n/a	N	0	0000	1160	511	3.10	208	731	46188	1160	n/a	388	1128	n/a	24204	1160	n/a	65532	1160	n/a	
22	8697838	n/a	0	0	n/a	N	0	0000	3928	1750	22.4	961	2062	50920	3928	n/a	1136	3400	n/a	40492	3928	n/a	65532	3928	n/a	
23	8697838	n/a	0	0	n/a	N	0	1000	1408	679	5.52	233	834	53060	1408	n/a	644	1308	n/a	25436	1408	n/a	65532	1408	n/a	
24	8698982	n/a	0	0	n/a	N	0	0000	336	23.0	0.19	0.37	2.38	6248	336	n/a	80	336	n/a	132	336	n/a	932	336	n/a	
25	8698998	n/a	0	0	n/a	N	0	0000	192	16.5	0.06	0.05	0.16	9200	192	n/a	56	184	n/a	44	180	n/a	148	188	n/a	
26	8699769	n/a	0	0	n/a	N	0	1000	1632	693	20.6	528	970	44192	1632	n/a	1848	1612	n/a	42736	1632	n/a	65260	1632	n/a	
27	8699775	n/a	0	0	n/a	N	0	1000	2088	859	14.4	213	294	45008	2088	n/a	740	2072	n/a	11860	2088	n/a	18196	2088	n/a	
28	8699775	n/a	0	0	n/a	N	0	1000	2036	703	6.68	418	712	38884	2036	n/a	408	1984	n/a	24144	2036	n/a	42024	2036	n/a	
29	8699777	n/a	0	0	n/a	N	0	1000	1440	709	27.3	478	869	52924	1440	n/a	2596	1380	n/a	43588	1440	n/a	65532	1440	n/a	
30	8699777	n/a	0	0	n/a	N	0	0000	156	8.30	0.01	0.91	4.60	4768	156	n/a	20	52	n/a	600	156	n/a	2952	156	n/a	
31	8699778	n/a	0	0	n/a	N	0	1000	1928	888	24.2	667	1042	56548	1928	n/a	2216	1524	n/a	55764	1736	n/a	65532	1928	n/a	
32	8700530	n/a	0	0	n/a	N	0	0000	408	25.9	0.14	0.16	1.13	6068	408	n/a	60	392	n/a	60	404	n/a	420	408	n/a	
33	8700986	n/a	0	0	n/a	N	0	0000	100	5.12	0.04	0.03	0.01	4764	100	n/a	60	96	n/a	56	92	n/a	84	28	n/a	
34	8701719	n/a	0	0	n/a	N	0	0000	64	2.91	0.03	0.03	0.06	3828	64	n/a	60	64	n/a	52	64	n/a	124	60	n/a	
35	8702239	n/a	0	0	n/a	N	0	0000	152	7.69	0.05	0.03	0.15	4592	152	n/a	48	148	n/a	44	120	n/a	220	144	n/a	
36	8703455	n/a	0	0	n/a	N	0	0000	284	27.1	3.81	3.07	0.55	10764	284	n/a	2212	284	n/a	1784	284	n/a	420	272	n/a	
37	8703698	n/a	0	0	n/a	N	0	0000	1524	592	2.24	259	1046	38780	1524	n/a	220	1504	n/a	21640	1524	n/a	65532	1524	n/a	
38	8703704	n/a	0	0	n/a	N	0	1000	1540	720	3.74	211	972	48424	1540	n/a	308	1520	n/a	22904	1540	n/a	65532	1540	n/a	
39	8703716	n/a	0	0	n/a	N	0	1000	1808	696	11.6	337	794	41160	1808	n/a	856	1764	n/a	22628	1808	n/a	56408	1808	n/a	
40	8705120	n/a	0	0	n/a	N	0	0000	60	2.79	0.02	0.02	0.02	3908	60	n/a	56	56	n/a	48	60	n/a	144	32	n/a	
