Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	9395949	n/a	0	0	n/a	N	0	0000	92	4.02	0.04	0.19	0.61	3616	92	n/a	68	92	n/a	224	92	n/a	712	92	n/a	
2	9398729	n/a	0	0	n/a	N	0	0000	464	31.5	0.16	0.15	0.42	6496	464	n/a	68	452	n/a	60	436	n/a	184	440	n/a	
3	9405319	n/a	0	0	n/a	N	0	0000	248	14.4	0.10	0.22	2.19	5320	248	n/a	56	248	n/a	96	248	n/a	944	248	n/a	
4	9406256	n/a	0	0	n/a	N	0	0000	160	9.71	0.11	0.14	0.16	5968	160	n/a	92	160	n/a	112	160	n/a	260	128	n/a	
5	9411877	n/a	0	0	n/a	N	0	0000	152	7.30	0.05	0.05	0.07	4040	152	n/a	60	148	n/a	60	144	n/a	128	116	n/a	
6	9411930	n/a	0	0	n/a	N	0	0000	180	9.06	0.04	0.03	0.00	4708	180	n/a	56	168	n/a	40	136	n/a	32	8	n/a	
7	9412654	n/a	0	0	n/a	N	0	1000	2220	1351	21.5	836	1567	65532	2220	n/a	1456	2080	n/a	51144	2220	n/a	65532	2220	n/a	
8	9412655	n/a	0	0	n/a	N	0	0000	1156	513	4.45	207	673	48720	1156	n/a	552	1116	n/a	25904	1156	n/a	65532	1156	n/a	
9	9412656	n/a	0	0	n/a	N	0	0000	5680	2788	52.0	2209	3552	65532	5680	n/a	1880	5608	n/a	60852	5680	n/a	65532	5680	n/a	
10	9412658	n/a	0	0	n/a	N	0	0000	4476	2504	67.2	2185	2962	65532	4476	n/a	3356	4244	n/a	65532	4476	n/a	65532	4476	n/a	
11	9412660	n/a	0	0	n/a	N	0	0000	8564	5046	49.4	2802	5952	65532	8564	n/a	1632	6836	n/a	53952	8564	n/a	65532	8564	n/a	
12	9412660	n/a	0	0	n/a	N	0	0000	1584	584	0.40	99.4	649	39108	1584	n/a	96	848	n/a	8572	1512	n/a	51700	1584	n/a	
13	9412661	n/a	0	0	n/a	N	0	1000	1608	792	3.65	213	1117	55692	1608	n/a	316	1532	n/a	17796	1592	n/a	65532	1608	n/a	
14	9412662	n/a	0	0	n/a	N	0	1000	1344	672	4.06	205	794	55864	1344	n/a	448	1296	n/a	21692	1344	n/a	65532	1344	n/a	
15	9412664	n/a	0	0	n/a	N	0	0000	2876	1371	14.9	436	1455	65532	2876	n/a	1016	2676	n/a	28564	2876	n/a	65532	2876	n/a	
16	9412665	n/a	0	0	n/a	N	0	1000	1548	620	2.81	168	883	46624	1548	n/a	244	1496	n/a	13920	1548	n/a	65532	1548	n/a	
17	9412839	n/a	0	0	n/a	N	0	1000	1308	577	3.29	71.4	286	45980	1308	n/a	312	1296	n/a	7260	1308	n/a	28164	1308	n/a	
18	9413534	n/a	0	0	n/a	N	0	0000	516	30.5	0.15	0.12	0.32	5688	516	n/a	52	492	n/a	48	476	n/a	184	456	n/a	
19	9414670	n/a	0	0	n/a	N	0	0000	132	8.57	0.04	0.04	0.00	6488	132	n/a	56	132	n/a	52	120	n/a	8	4	n/a	
20	9414793	n/a	0	0	n/a	N	0	0000	88	4.15	0.35	2.07	2.49	4088	88	n/a	436	88	n/a	2412	88	n/a	2928	88	n/a	
21	9417186	n/a	0	0	n/a	N	0	0000	220	13.6	0.18	0.87	1.72	5800	220	n/a	108	220	n/a	480	220	n/a	840	220	n/a	
22	9419174	n/a	0	0	n/a	N	0	0000	996	457	16.0	474	622	50408	996	n/a	2540	980	n/a	65532	996	n/a	65532	996	n/a	
23	9419176	n/a	0	0	n/a	N	0	0000	4256	2626	71.7	1679	3076	65532	4256	n/a	2664	4136	n/a	53752	4256	n/a	65532	4256	n/a	
