Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	10824053	n/a	0	0	n/a	N	0	1000	1836	741	16.6	198	374	43872	1836	n/a	1096	1804	n/a	12720	1836	n/a	23768	1836	n/a	
2	10830354	n/a	0	0	n/a	N	0	1000	1544	683	1.20	8.30	100	47436	1544	n/a	132	1516	n/a	796	1516	n/a	9140	1544	n/a	
3	10838673	n/a	0	0	n/a	N	0	0000	108	5.11	0.05	0.03	0.02	4028	108	n/a	64	108	n/a	44	104	n/a	84	44	n/a	
4	10840408	n/a	0	0	n/a	N	0	0000	84	4.01	0.03	0.03	0.08	4148	84	n/a	52	84	n/a	56	80	n/a	160	80	n/a	
5	10847028	n/a	0	0	n/a	N	0	0000	1600	152	0.57	0.70	2.42	18148	1600	n/a	72	1528	n/a	124	1456	n/a	456	1540	n/a	
6	10847028	n/a	0	0	n/a	N	0	0000	108	5.70	0.04	0.05	0.16	4876	108	n/a	60	96	n/a	68	100	n/a	244	108	n/a	
7	10849212	n/a	0	0	n/a	N	0	0000	168	8.42	0.05	0.05	0.06	4524	168	n/a	56	156	n/a	52	156	n/a	168	88	n/a	
8	10855693	n/a	0	0	n/a	N	0	0000	76	3.29	0.03	0.04	0.27	3568	76	n/a	64	76	n/a	72	76	n/a	368	76	n/a	
9	10861210	n/a	0	0	n/a	N	0	0000	84	4.13	0.05	0.29	0.72	4272	84	n/a	80	84	n/a	356	84	n/a	896	84	n/a	
10	10865026	n/a	0	0	n/a	N	0	0000	156	9.27	0.08	0.08	0.20	5612	156	n/a	84	156	n/a	68	156	n/a	216	148	n/a	
11	10866227	n/a	0	0	n/a	N	0	0000	192	11.3	0.05	0.03	0.10	5512	192	n/a	56	176	n/a	40	148	n/a	188	120	n/a	
