Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	11439286	n/a	0	0	n/a	N	0	0000	164	9.31	0.06	0.04	0.12	5220	164	n/a	60	148	n/a	48	144	n/a	176	132	n/a	
2	11461266	n/a	0	0	n/a	N	0	0000	160	8.11	0.06	0.04	0.10	4404	160	n/a	56	160	n/a	56	140	n/a	148	144	n/a	
3	11461280	n/a	0	0	n/a	N	0	0000	120	6.93	0.04	0.06	0.14	5436	120	n/a	52	112	n/a	68	116	n/a	180	116	n/a	
4	11462212	n/a	0	0	n/a	N	0	0000	188	10.1	0.09	0.29	0.61	4836	188	n/a	72	188	n/a	160	188	n/a	376	188	n/a	
5	11464879	n/a	0	0	n/a	N	0	0000	280	30.3	0.21	0.60	2.25	12260	280	n/a	108	280	n/a	292	280	n/a	1276	280	n/a	
6	11465413	n/a	0	0	n/a	N	0	0000	216	13.0	0.09	0.09	0.03	5756	216	n/a	72	212	n/a	60	216	n/a	72	96	n/a	
7	11466337	n/a	0	0	n/a	N	0	0000	232	15.7	0.15	0.88	3.13	6612	232	n/a	104	216	n/a	512	232	n/a	1648	232	n/a	
8	11466429	n/a	0	0	n/a	N	0	0000	240	13.3	0.10	0.18	0.49	5516	240	n/a	68	232	n/a	84	240	n/a	336	240	n/a	
9	11466499	n/a	0	0	n/a	N	0	0000	204	9.07	0.06	0.05	0.08	3784	204	n/a	56	192	n/a	44	172	n/a	212	96	n/a	
10	11468409	n/a	0	0	n/a	N	0	0000	112	7.78	0.06	0.09	0.34	6976	112	n/a	68	112	n/a	96	112	n/a	404	112	n/a	
11	11469065	n/a	0	0	n/a	N	0	0000	232	12.3	0.08	0.06	0.11	4512	232	n/a	56	228	n/a	44	212	n/a	124	148	n/a	
12	11471054	n/a	0	0	n/a	N	0	0000	144	7.46	0.11	0.71	0.42	4624	144	n/a	84	144	n/a	492	144	n/a	400	144	n/a	
13	11474315	n/a	0	0	n/a	N	0	0000	812	47.1	0.49	1.09	4.31	6380	812	n/a	84	812	n/a	172	812	n/a	672	812	n/a	
14	11474997	n/a	0	0	n/a	N	0	0000	380	30.5	0.24	0.65	2.51	12052	380	n/a	100	380	n/a	340	380	n/a	1184	380	n/a	
15	11477005	n/a	0	0	n/a	N	0	0000	604	60.4	0.21	0.23	0.59	12188	604	n/a	72	580	n/a	68	584	n/a	212	544	n/a	
16	11477409	n/a	0	0	n/a	N	0	0000	244	13.0	0.14	0.84	2.57	4780	244	n/a	92	244	n/a	348	244	n/a	1084	244	n/a	
17	11478322	n/a	0	0	n/a	N	0	0000	180	10.0	0.08	0.14	0.16	5248	180	n/a	64	180	n/a	92	180	n/a	200	152	n/a	
