Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	12020238	n/a	0	0	n/a	N	0	0000	128	9.01	0.06	0.26	0.89	7092	128	n/a	60	128	n/a	236	128	n/a	752	128	n/a	
2	12028929	n/a	0	0	n/a	N	0	0000	60	2.78	0.39	0.37	0.52	3924	60	n/a	768	60	n/a	708	60	n/a	948	60	n/a	
3	12030059	n/a	0	0	n/a	N	0	1000	1832	876	20.5	397	1263	52064	1832	n/a	1340	1772	n/a	28120	1832	n/a	65532	1832	n/a	
4	12034057	n/a	0	0	n/a	N	0	0000	108	5.79	0.28	2.04	3.57	4708	108	n/a	280	108	n/a	2112	108	n/a	3592	108	n/a	
5	12034315	n/a	0	0	n/a	N	0	0000	112	6.11	0.03	0.08	0.83	4912	112	n/a	40	104	n/a	92	108	n/a	816	112	n/a	
6	12034811	n/a	0	0	n/a	N	0	0000	192	12.4	0.07	0.06	0.08	6404	192	n/a	56	192	n/a	60	172	n/a	176	76	n/a	
7	12038445	n/a	0	0	n/a	N	0	0000	140	8.54	0.12	0.71	2.66	5812	140	n/a	104	140	n/a	568	140	n/a	2112	140	n/a	
8	12039311	n/a	0	0	n/a	N	0	0000	76	3.59	0.03	0.05	0.14	4076	76	n/a	68	72	n/a	80	76	n/a	272	76	n/a	
9	12039900	n/a	0	0	n/a	N	0	1000	2024	924	34.2	533	1146	51972	2024	n/a	2492	1960	n/a	35128	2024	n/a	65532	2024	n/a	
10	12040115	n/a	0	0	n/a	N	0	1000	1912	1014	15.9	381	1334	56384	1912	n/a	1116	1848	n/a	25156	1912	n/a	65532	1912	n/a	
11	12040738	n/a	0	0	n/a	N	0	0000	80	3.82	0.04	0.11	0.88	4108	80	n/a	60	80	n/a	140	80	n/a	1096	80	n/a	
12	12040980	n/a	0	0	n/a	N	0	0000	108	5.14	0.04	0.20	1.11	4028	108	n/a	48	108	n/a	192	108	n/a	976	108	n/a	
13	12041254	n/a	0	0	n/a	N	0	1000	1740	1072	8.23	205	1100	65532	1740	n/a	628	1676	n/a	15876	1740	n/a	65532	1740	n/a	
14	12042242	n/a	0	0	n/a	N	0	0000	348	28.9	0.13	0.12	0.09	10752	348	n/a	60	348	n/a	56	332	n/a	156	172	n/a	
15	12043842	n/a	0	0	n/a	N	0	1000	1976	1054	29.5	507	1428	55672	1976	n/a	1812	1932	n/a	32244	1976	n/a	65532	1976	n/a	
16	12044014	n/a	0	0	n/a	N	0	1000	1964	1013	17.3	357	1376	54660	1964	n/a	1192	1916	n/a	22936	1964	n/a	65532	1964	n/a	
