Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	13738520	n/a	0	0	n/a	N	0	0000	100	5.32	0.04	0.07	0.19	4784	100	n/a	72	100	n/a	84	100	n/a	232	100	n/a	
2	13739267	n/a	0	0	n/a	N	0	0000	96	4.96	0.03	0.05	0.20	4556	96	n/a	56	96	n/a	84	96	n/a	276	96	n/a	
3	13739274	n/a	0	0	n/a	N	0	0000	64	3.04	0.01	0.02	0.07	4068	64	n/a	44	60	n/a	56	60	n/a	264	48	n/a	
4	13741794	n/a	0	0	n/a	N	0	0000	96	4.38	0.08	0.38	1.13	3804	96	n/a	92	96	n/a	360	96	n/a	1136	96	n/a	
5	13745287	n/a	0	0	n/a	N	0	0000	2840	1282	11.1	411	1479	55692	2840	n/a	740	2564	n/a	26280	2840	n/a	65532	2840	n/a	
6	13745287	n/a	0	0	n/a	N	0	0000	736	35.3	0.01	0.00	0.16	4188	736	n/a	32	76	n/a	16	40	n/a	216	188	n/a	
7	13745288	n/a	0	0	n/a	N	0	0000	92	4.11	0.04	0.30	1.45	3728	92	n/a	60	88	n/a	312	92	n/a	1388	92	n/a	
8	13745288	n/a	0	0	n/a	N	0	1000	1288	652	2.57	92.4	491	58452	1288	n/a	276	1232	n/a	9000	1272	n/a	46388	1288	n/a	
9	13745289	n/a	0	0	n/a	N	0	0000	656	34.0	0.09	0.00	1.07	4556	656	n/a	44	428	n/a	24	32	n/a	352	652	n/a	
10	13745292	n/a	0	0	n/a	N	0	1000	2156	987	8.54	342	1274	48932	2156	n/a	616	2080	n/a	24296	2156	n/a	65532	2156	n/a	
11	13746629	n/a	0	0	n/a	N	0	0000	96	5.06	0.03	0.05	0.35	4648	96	n/a	40	92	n/a	76	92	n/a	412	96	n/a	
12	13749113	n/a	0	0	n/a	N	0	0000	92	5.35	0.04	0.05	0.14	5368	92	n/a	64	92	n/a	72	92	n/a	232	92	n/a	
13	13749276	n/a	0	0	n/a	N	0	0000	828	103	0.93	4.72	24.6	13700	828	n/a	168	828	n/a	684	828	n/a	3928	828	n/a	
14	13749360	n/a	0	0	n/a	N	0	1000	2816	1513	14.5	420	1667	56368	2816	n/a	1052	2744	n/a	25112	2816	n/a	65532	2816	n/a	
15	13750218	n/a	0	0	n/a	N	0	0000	804	76.2	0.29	0.31	0.91	11672	804	n/a	80	784	n/a	72	772	n/a	212	780	n/a	
16	13751031	n/a	0	0	n/a	N	0	0000	632	44.6	0.22	0.23	0.54	9856	632	n/a	64	620	n/a	108	580	n/a	252	524	n/a	
17	13751031	n/a	0	0	n/a	N	0	0000	264	14.7	0.08	0.08	0.19	5372	264	n/a	60	240	n/a	80	228	n/a	152	228	n/a	
18	13752344	n/a	0	0	n/a	N	0	1000	2392	1345	2.88	289	1329	62112	2392	n/a	204	2108	n/a	20520	2280	n/a	65532	2392	n/a	
19	13752346	n/a	0	0	n/a	N	0	0000	2812	1039	12.2	444	1248	60352	2812	n/a	1172	2240	n/a	35740	2620	n/a	65532	2812	n/a	
20	13753205	n/a	0	0	n/a	N	0	0000	176	11.1	0.15	0.83	3.48	6052	176	n/a	108	176	n/a	544	176	n/a	2200	176	n/a	
21	13753510	n/a	0	0	n/a	N	0	0000	88	4.69	0.03	0.02	0.08	4780	88	n/a	48	84	n/a	40	64	n/a	184	80	n/a	
22	13753888	n/a	0	0	n/a	N	0	1000	2508	1615	12.7	288	1580	65532	2508	n/a	704	2436	n/a	15204	2508	n/a	65532	2508	n/a	
23	13753889	n/a	0	0	n/a	N	0	1000	1804	1171	7.50	172	1016	65532	1804	n/a	704	1708	n/a	16812	1792	n/a	65532	1804	n/a	
24	13753891	n/a	0	0	n/a	N	0	1000	2220	1399	22.7	665	1541	65532	2220	n/a	1472	2152	n/a	41888	2220	n/a	65532	2220	n/a	
25	13753894	n/a	0	0	n/a	N	0	1000	2328	1409	13.0	476	1615	63668	2328	n/a	796	2252	n/a	29864	2328	n/a	65532	2328	n/a	
26	13753902	n/a	0	0	n/a	N	0	1000	2704	1410	20.7	665	1660	59080	2704	n/a	1236	2644	n/a	39656	2704	n/a	65532	2704	n/a	
27	13753926	n/a	0	0	n/a	N	0	0000	264	18.1	0.14	0.77	3.46	7000	264	n/a	68	264	n/a	316	264	n/a	1584	264	n/a	
28	13756323	n/a	0	0	n/a	N	0	0000	96	5.13	0.06	0.31	1.63	4860	96	n/a	88	96	n/a	324	96	n/a	1640	96	n/a	
29	13757805	n/a	0	0	n/a	N	0	0000	172	16.3	0.08	0.13	1.02	10432	172	n/a	60	172	n/a	96	172	n/a	844	172	n/a	
30	13758136	n/a	0	0	n/a	N	0	1000	2668	1274	14.1	362	1576	52056	2668	n/a	944	2612	n/a	21452	2668	n/a	65532	2668	n/a	
31	13758139	n/a	0	0	n/a	N	0	0000	512	36.2	0.16	0.10	0.32	7232	512	n/a	56	500	n/a	56	416	n/a	172	368	n/a	
32	13758378	n/a	0	0	n/a	N	0	0000	92	4.26	0.02	0.03	0.26	3924	92	n/a	40	84	n/a	44	84	n/a	312	92	n/a	
33	13759163	n/a	0	0	n/a	N	0	0000	80	4.04	0.03	0.21	0.72	4424	80	n/a	48	80	n/a	268	80	n/a	948	80	n/a	
34	13759348	n/a	0	0	n/a	N	0	0000	248	28.0	0.16	1.31	6.11	12708	248	n/a	88	248	n/a	716	248	n/a	2860	248	n/a	
35	13759571	n/a	0	0	n/a	N	0	1000	2440	1206	9.85	431	1433	57676	2440	n/a	604	2368	n/a	25636	2432	n/a	65532	2440	n/a	
36	13759680	n/a	0	0	n/a	N	0	1000	2344	1134	2.77	286	1261	49304	2344	n/a	200	2272	n/a	23204	2336	n/a	65532	2344	n/a	
37	13759723	n/a	0	0	n/a	N	0	1000	2020	1117	5.30	314	1192	60372	2020	n/a	376	1920	n/a	25108	2020	n/a	65532	2020	n/a	
38	13759734	n/a	0	0	n/a	N	0	0000	120	6.21	0.04	0.14	0.40	4608	120	n/a	64	120	n/a	140	120	n/a	424	120	n/a	
39	13759735	n/a	0	0	n/a	N	0	0000	2640	1157	12.1	429	1578	47592	2640	n/a	704	2568	n/a	22800	2640	n/a	65532	2640	n/a	
40	13759738	n/a	0	0	n/a	N	0	1000	2444	1175	8.61	317	1382	56212	2444	n/a	612	2380	n/a	20480	2444	n/a	65532	2444	n/a	
41	13760123	n/a	0	0	n/a	N	0	1000	2396	1099	11.4	433	1297	49292	2396	n/a	696	2336	n/a	24292	2396	n/a	62740	2396	n/a	
42	13760147	n/a	0	0	n/a	N	0	0000	136	7.26	0.06	0.28	2.23	4800	136	n/a	56	136	n/a	212	136	n/a	1608	136	n/a	
43	13760160	n/a	0	0	n/a	N	0	1000	2572	1683	21.4	472	1554	65532	2572	n/a	1508	2400	n/a	30672	2572	n/a	65532	2572	n/a	
44	13760163	n/a	0	0	n/a	N	0	0000	3204	2189	11.0	594	2109	65532	3204	n/a	624	3056	n/a	31992	3176	n/a	65532	3204	n/a	
45	13760419	n/a	0	0	n/a	N	0	0000	140	9.17	0.06	0.17	0.68	6020	140	n/a	68	140	n/a	152	140	n/a	572	140	n/a	
