Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	14118329	n/a	0	0	n/a	N	0	0000	116	6.46	0.05	0.10	0.79	5024	116	n/a	68	116	n/a	116	116	n/a	768	116	n/a	
2	14122106	n/a	0	0	n/a	N	0	0000	792	95.4	0.57	2.35	6.40	13000	792	n/a	128	788	n/a	540	792	n/a	1664	792	n/a	
3	14248749	n/a	0	0	n/a	N	0	0000	292	32.0	0.11	0.60	12.2	11472	292	n/a	68	284	n/a	252	292	n/a	5208	292	n/a	
4	14250327	n/a	0	0	n/a	N	0	0000	60	2.82	0.01	0.01	0.05	4020	60	n/a	48	48	n/a	40	44	n/a	112	60	n/a	
5	14270008	n/a	0	0	n/a	N	0	0000	64	2.81	0.03	0.13	0.27	3612	64	n/a	52	64	n/a	180	64	n/a	444	64	n/a	
6	14271647	n/a	0	0	n/a	N	0	1000	1948	916	12.2	153	654	51664	1948	n/a	720	1916	n/a	10508	1948	n/a	43068	1948	n/a	
7	14307285	n/a	0	0	n/a	N	0	0000	100	5.59	0.07	0.45	0.58	5236	100	n/a	104	100	n/a	612	100	n/a	704	100	n/a	
8	14309684	n/a	0	0	n/a	N	0	0000	64	2.90	0.03	0.06	0.27	3792	64	n/a	52	64	n/a	100	64	n/a	512	64	n/a	
9	14309718	n/a	0	0	n/a	N	0	0000	276	20.2	0.42	4.16	13.0	6880	276	n/a	168	276	n/a	1552	276	n/a	5148	276	n/a	
10	14309963	n/a	0	0	n/a	N	0	0000	404	49.4	0.30	1.11	3.81	13328	404	n/a	96	404	n/a	352	404	n/a	1212	404	n/a	
11	14310638	n/a	0	0	n/a	N	0	0000	88	4.33	0.03	0.04	0.08	4288	88	n/a	60	84	n/a	64	88	n/a	168	80	n/a	
12	14313492	n/a	0	0	n/a	N	0	0000	76	3.80	0.05	0.23	0.41	4396	76	n/a	96	76	n/a	312	76	n/a	540	76	n/a	
13	14314038	n/a	0	0	n/a	N	0	1000	2512	1697	15.5	515	1544	65532	2512	n/a	1016	2364	n/a	32832	2512	n/a	65532	2512	n/a	
14	14314038	n/a	0	0	n/a	N	0	0000	64	2.83	0.00	0.00	0.18	3684	64	n/a	0	0	n/a	0	0	n/a	316	64	n/a	
15	14314043	n/a	0	0	n/a	N	0	1000	2360	1276	18.1	339	1434	58984	2360	n/a	1224	2284	n/a	21860	2360	n/a	65532	2360	n/a	
16	14314044	n/a	0	0	n/a	N	0	0000	3452	1706	25.2	241	1300	58520	3452	n/a	1808	3016	n/a	12764	3436	n/a	54716	3452	n/a	
17	14314045	n/a	0	0	n/a	N	0	1000	1920	1080	4.62	109	808	65532	1920	n/a	436	1700	n/a	9508	1840	n/a	65532	1920	n/a	
18	14314046	n/a	0	0	n/a	N	0	1000	2412	1468	7.46	195	1311	65532	2412	n/a	432	2344	n/a	12796	2412	n/a	65532	2412	n/a	
19	14317748	n/a	0	0	n/a	N	0	0000	112	5.94	0.03	0.06	0.08	4784	112	n/a	40	100	n/a	84	112	n/a	196	104	n/a	
20	14318447	n/a	0	0	n/a	N	0	0000	136	6.63	0.34	0.37	0.28	4220	136	n/a	424	136	n/a	328	136	n/a	260	136	n/a	
