Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	14820089	n/a	0	0	n/a	N	0	0000	788	57.3	0.65	3.60	7.59	6900	788	n/a	120	784	n/a	608	788	n/a	1372	788	n/a	
2	14841443	n/a	0	0	n/a	N	0	0000	196	12.2	0.21	0.75	1.10	5928	196	n/a	132	196	n/a	416	196	n/a	640	196	n/a	
3	14846706	n/a	0	0	n/a	N	0	0000	164	9.62	0.08	0.57	3.63	5372	164	n/a	72	160	n/a	356	164	n/a	2252	164	n/a	
4	14857608	n/a	0	0	n/a	N	0	0000	84	4.03	0.03	0.03	0.16	4172	84	n/a	52	84	n/a	56	80	n/a	224	84	n/a	
5	14858258	n/a	0	0	n/a	N	0	0000	2840	1831	15.0	409	1759	65532	2840	n/a	740	2752	n/a	18996	2840	n/a	65532	2840	n/a	
6	14858267	n/a	0	0	n/a	N	0	0000	5324	3074	62.9	1006	2652	65532	5324	n/a	2384	4888	n/a	36352	5284	n/a	65532	5324	n/a	
7	14858268	n/a	0	0	n/a	N	0	1000	2072	1283	11.3	427	1261	65532	2072	n/a	844	1832	n/a	32280	2032	n/a	65532	2072	n/a	
8	14858269	n/a	0	0	n/a	N	0	1000	2448	1596	9.24	241	774	65532	2448	n/a	596	2264	n/a	17696	2392	n/a	51388	2424	n/a	
9	14858270	n/a	0	0	n/a	N	0	0000	3248	2360	26.8	409	1852	65532	3248	n/a	1832	3112	n/a	21196	3224	n/a	65532	3248	n/a	
10	14858860	n/a	0	0	n/a	N	0	1000	1928	982	4.87	248	1165	53700	1928	n/a	408	1816	n/a	19404	1928	n/a	65532	1928	n/a	
11	14858868	n/a	0	0	n/a	N	0	1000	1668	973	3.67	115	815	65532	1668	n/a	356	1596	n/a	11648	1668	n/a	65532	1668	n/a	
12	14858873	n/a	0	0	n/a	N	0	1000	2584	1654	23.8	609	1551	65532	2584	n/a	1704	2424	n/a	37540	2584	n/a	65532	2584	n/a	
13	14858873	n/a	0	0	n/a	N	0	0000	164	11.4	0.03	0.02	0.32	6896	164	n/a	40	132	n/a	32	108	n/a	380	152	n/a	
14	14858874	n/a	0	0	n/a	N	0	0000	3176	1775	5.18	142	1423	65532	3176	n/a	280	3028	n/a	9308	3156	n/a	65532	3176	n/a	
15	14859227	n/a	0	0	n/a	N	0	0000	220	22.0	0.30	0.54	0.58	11008	220	n/a	172	220	n/a	312	220	n/a	408	220	n/a	
16	14859666	n/a	0	0	n/a	N	0	0000	108	6.07	0.05	0.22	1.63	5176	108	n/a	56	108	n/a	252	108	n/a	1656	108	n/a	
17	14860316	n/a	0	0	n/a	N	0	0000	84	4.00	0.04	0.18	0.96	4108	84	n/a	68	84	n/a	220	84	n/a	1292	84	n/a	
18	14861053	n/a	0	0	n/a	N	0	0000	132	8.11	0.05	0.10	0.32	6008	132	n/a	56	124	n/a	104	128	n/a	372	132	n/a	
19	14862494	n/a	0	0	n/a	N	0	1000	2656	1578	16.4	506	1660	61904	2656	n/a	872	2580	n/a	29096	2656	n/a	65532	2656	n/a	
20	14862495	n/a	0	0	n/a	N	0	0000	1616	530	6.17	67.1	256	34704	1616	n/a	492	1528	n/a	5060	1616	n/a	19288	1616	n/a	
21	14862917	n/a	0	0	n/a	N	0	0000	284	22.6	0.41	2.10	3.04	8448	284	n/a	188	284	n/a	964	284	n/a	1388	284	n/a	
22	14865188	n/a	0	0	n/a	N	0	1000	2492	1043	3.06	74.0	300	47580	2492	n/a	212	2428	n/a	4288	2448	n/a	17740	2484	n/a	
23	14865191	n/a	0	0	n/a	N	0	0000	4368	2603	24.9	522	2399	65532	4368	n/a	1180	4156	n/a	20468	4228	n/a	65532	4368	n/a	
24	14865191	n/a	0	0	n/a	N	0	1000	2396	1589	26.9	780	1615	65532	2396	n/a	2032	2180	n/a	47616	2344	n/a	65532	2396	n/a	
25	14865203	n/a	0	0	n/a	N	0	1000	1852	1141	2.30	102	312	62436	1852	n/a	188	1764	n/a	7376	1844	n/a	20868	1852	n/a	
26	14865205	n/a	0	0	n/a	N	0	0000	2640	1165	8.29	209	1142	46848	2640	n/a	456	2552	n/a	10708	2640	n/a	50624	2640	n/a	
27	14865206	n/a	0	0	n/a	N	0	1000	2348	1506	10.0	294	1252	65532	2348	n/a	640	2244	n/a	17732	2348	n/a	65532	2348	n/a	
28	14865207	n/a	0	0	n/a	N	0	1000	2696	1571	14.1	521	1653	65428	2696	n/a	876	2576	n/a	28804	2692	n/a	65532	2696	n/a	
