Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	6369037	n/a	0	0	n/a	N	0	0000	72	3.20	0.06	0.42	1.63	3744	72	n/a	108	72	n/a	588	72	n/a	2208	72	n/a	
2	6369208	n/a	0	0	n/a	N	0	0000	716	89.0	2.19	12.8	33.7	13556	716	n/a	384	712	n/a	2316	716	n/a	5964	716	n/a	
3	6369485	n/a	0	0	n/a	N	0	0000	636	106	0.43	7.36	65.3	18512	636	n/a	92	632	n/a	1228	636	n/a	11576	636	n/a	
4	6369635	n/a	0	0	n/a	N	0	0000	488	64.4	0.90	4.80	15.4	13896	488	n/a	224	488	n/a	1188	488	n/a	4012	488	n/a	
5	6369723	n/a	0	0	n/a	N	0	0000	8496	1259	29.9	149	292	13004	8496	n/a	420	8436	n/a	3804	8496	n/a	6712	8496	n/a	
6	6369756	n/a	0	0	n/a	N	0	0000	364	54.3	0.17	0.13	0.52	16064	364	n/a	76	360	n/a	72	340	n/a	244	364	n/a	
7	6369905	n/a	0	0	n/a	N	0	0000	224	12.3	0.24	1.78	2.28	5212	224	n/a	128	224	n/a	796	224	n/a	1096	224	n/a	
8	6369972	n/a	0	0	n/a	N	0	0000	344	62.8	0.19	0.13	0.08	19916	344	n/a	80	344	n/a	64	336	n/a	100	176	n/a	
9	6369997	n/a	0	0	n/a	N	0	0000	216	10.4	0.07	0.05	0.14	4444	216	n/a	64	196	n/a	52	184	n/a	160	180	n/a	
10	6370054	n/a	0	0	n/a	N	0	0000	424	46.7	0.67	0.42	0.48	19320	424	n/a	304	424	n/a	200	424	n/a	260	380	n/a	
11	6370054	n/a	0	0	n/a	N	0	0000	196	9.48	0.19	0.16	0.16	4300	196	n/a	120	196	n/a	108	196	n/a	160	184	n/a	
12	6370054	n/a	0	0	n/a	N	0	0000	88	4.25	0.08	0.09	0.06	4216	88	n/a	116	88	n/a	128	88	n/a	108	80	n/a	
13	6370361	n/a	0	0	n/a	N	0	0000	152	6.74	0.05	0.15	0.72	3700	152	n/a	52	148	n/a	104	152	n/a	528	152	n/a	
14	6370375	n/a	0	0	n/a	N	0	0000	60	3.06	0.03	0.15	0.57	4524	60	n/a	72	60	n/a	252	60	n/a	1040	60	n/a	
15	6370395	n/a	0	0	n/a	N	0	0000	92	5.12	0.04	0.04	0.07	5096	92	n/a	72	92	n/a	68	92	n/a	140	72	n/a	
16	6371571	n/a	0	0	n/a	N	0	0000	656	76.3	1.03	8.12	28.8	11180	656	n/a	232	652	n/a	1660	656	n/a	5800	656	n/a	
17	6371718	n/a	0	0	n/a	N	0	0000	136	8.80	0.05	0.03	0.09	6240	136	n/a	60	132	n/a	44	116	n/a	188	84	n/a	
18	6371940	n/a	0	0	n/a	N	0	0000	356	18.9	0.54	3.43	4.71	4640	356	n/a	204	356	n/a	1020	356	n/a	1468	356	n/a	
19	6372340	n/a	0	0	n/a	N	0	0000	604	43.4	0.34	1.06	2.34	6792	604	n/a	84	604	n/a	216	604	n/a	536	604	n/a	
20	6372905	n/a	0	0	n/a	N	0	0000	496	41.7	0.66	7.99	42.6	7824	496	n/a	184	496	n/a	1964	496	n/a	9444	496	n/a	
