Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	6912539	n/a	0	0	n/a	N	0	0000	64	3.03	0.03	0.11	0.39	4108	64	n/a	80	56	n/a	196	64	n/a	736	64	n/a	
2	6912957	n/a	0	0	n/a	N	0	0010	920	137	1.91	13.8	39.8	19248	920	n/a	312	920	n/a	2000	920	n/a	5292	920	n/a	
3	6912998	n/a	0	0	n/a	N	0	0000	192	13.0	0.13	0.38	0.94	6684	192	n/a	88	192	n/a	232	192	n/a	564	192	n/a	
4	6913092	n/a	0	0	n/a	N	0	0000	76	3.27	0.05	0.13	0.12	3492	76	n/a	80	76	n/a	168	76	n/a	188	76	n/a	
5	6913518	n/a	0	0	n/a	N	0	0000	360	27.1	0.13	0.10	0.26	8532	360	n/a	60	344	n/a	56	324	n/a	192	304	n/a	
6	6913887	n/a	0	0	n/a	N	0	0000	444	19.8	0.14	0.11	0.32	4068	444	n/a	64	432	n/a	44	400	n/a	204	356	n/a	
7	6913887	n/a	0	0	n/a	N	0	0000	168	10.6	0.06	0.04	0.16	6204	168	n/a	52	156	n/a	56	144	n/a	188	152	n/a	
8	6915503	n/a	0	0	n/a	N	0	0000	60	2.96	0.03	0.05	0.15	4292	60	n/a	68	60	n/a	100	60	n/a	272	60	n/a	
9	6915982	n/a	0	0	n/a	N	0	0000	304	21.7	0.22	0.53	0.69	7400	304	n/a	96	304	n/a	204	304	n/a	324	304	n/a	
10	6918726	n/a	0	0	n/a	N	0	0000	324	21.6	0.23	1.02	3.83	6280	324	n/a	88	324	n/a	376	324	n/a	1368	324	n/a	
11	6920319	n/a	0	0	n/a	N	0	0000	200	14.6	0.24	0.62	1.39	7328	200	n/a	140	200	n/a	352	200	n/a	820	200	n/a	
12	6925070	n/a	0	0	n/a	N	0	0000	116	5.52	0.05	0.05	0.05	4136	116	n/a	52	116	n/a	72	116	n/a	116	72	n/a	
13	6926538	n/a	0	0	n/a	N	0	0000	88	4.42	0.07	0.18	0.14	4412	88	n/a	88	88	n/a	212	88	n/a	208	88	n/a	
14	6928056	n/a	0	0	n/a	N	0	0000	252	12.6	0.07	0.06	0.02	5028	252	n/a	56	240	n/a	52	236	n/a	84	24	n/a	
15	6930289	n/a	0	0	n/a	N	0	0000	488	37.4	0.17	0.12	0.39	8540	488	n/a	60	468	n/a	48	428	n/a	204	440	n/a	
16	6933959	n/a	0	0	n/a	N	0	0000	228	14.9	0.08	0.06	0.18	6416	228	n/a	60	212	n/a	60	204	n/a	184	204	n/a	
17	6934980	n/a	0	0	n/a	N	0	0000	176	11.3	0.10	0.97	4.66	6060	176	n/a	84	176	n/a	720	176	n/a	3052	176	n/a	
18	6935321	n/a	0	0	n/a	N	0	0000	2944	1053	15.0	446	1415	54592	2944	n/a	1032	2888	n/a	29480	2944	n/a	65532	2944	n/a	
19	6936344	n/a	0	0	n/a	N	0	0000	124	6.78	0.06	0.18	0.36	4868	124	n/a	60	124	n/a	168	124	n/a	436	124	n/a	
20	6936740	n/a	0	0	n/a	N	0	0000	124	8.62	0.11	0.25	0.58	6984	124	n/a	120	124	n/a	232	124	n/a	580	124	n/a	
21	6938848	n/a	0	0	n/a	N	0	0000	188	10.3	0.06	0.06	0.15	5008	188	n/a	48	172	n/a	64	180	n/a	148	168	n/a	
