Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	7404427	n/a	0	0	n/a	N	0	0000	168	8.49	0.05	0.04	0.13	4564	168	n/a	52	152	n/a	52	148	n/a	152	148	n/a	
2	7410396	n/a	0	0	n/a	N	0	0000	300	20.5	0.08	0.06	0.22	6420	300	n/a	64	284	n/a	56	244	n/a	176	248	n/a	
3	7414646	n/a	0	0	n/a	N	0	0000	212	11.3	0.08	0.07	0.10	4996	212	n/a	64	204	n/a	68	212	n/a	120	156	n/a	
4	7416815	n/a	0	0	n/a	N	0	0000	136	7.21	0.06	0.03	0.12	4856	136	n/a	60	132	n/a	56	112	n/a	144	136	n/a	
5	7416815	n/a	0	0	n/a	N	0	0000	108	5.41	0.03	0.02	0.09	4440	108	n/a	48	96	n/a	36	92	n/a	204	88	n/a	
6	7417347	n/a	0	0	n/a	N	0	0000	216	13.0	0.09	0.07	0.09	5984	216	n/a	60	212	n/a	52	212	n/a	132	136	n/a	
7	7422510	n/a	0	0	n/a	N	0	0000	620	61.0	0.22	0.18	0.51	10816	620	n/a	68	604	n/a	60	560	n/a	208	572	n/a	
8	7424584	n/a	0	0	n/a	N	0	0010	1388	96.1	0.49	0.39	0.36	10832	1388	n/a	72	1276	n/a	68	1204	n/a	156	644	n/a	
9	7426082	n/a	0	0	n/a	N	0	0000	84	3.85	0.05	0.07	0.42	3864	84	n/a	72	84	n/a	92	84	n/a	668	84	n/a	
10	7427165	n/a	0	0	n/a	N	0	0000	156	7.74	0.07	0.10	0.23	4484	156	n/a	68	152	n/a	100	156	n/a	244	136	n/a	
11	7428247	n/a	0	0	n/a	N	0	0000	300	28.2	0.11	0.06	0.22	11188	300	n/a	68	300	n/a	48	252	n/a	148	248	n/a	
12	7428393	n/a	0	0	n/a	N	0	0000	368	23.5	0.32	0.58	0.56	6048	368	n/a	124	368	n/a	204	368	n/a	312	364	n/a	
