Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	12404099	n/a	0	0	n/a	N	0	0000	148	9.26	0.09	0.23	0.53	6148	148	n/a	84	148	n/a	192	148	n/a	484	148	n/a	
2	12427850	n/a	0	0	n/a	N	0	0000	156	8.47	0.05	0.04	0.14	5116	156	n/a	68	144	n/a	52	144	n/a	204	144	n/a	
3	12429491	n/a	0	0	n/a	N	0	0000	324	18.7	0.10	0.08	0.20	5176	324	n/a	60	312	n/a	56	288	n/a	228	216	n/a	
4	12433109	n/a	0	0	n/a	N	0	0000	116	6.24	0.05	0.19	0.36	4884	116	n/a	64	116	n/a	172	116	n/a	404	116	n/a	
5	12433855	n/a	0	0	n/a	N	0	0000	88	4.60	0.14	0.73	0.66	4700	88	n/a	180	88	n/a	796	88	n/a	852	88	n/a	
6	12439361	n/a	0	0	n/a	N	0	0000	116	5.33	0.03	0.02	0.08	3908	116	n/a	56	112	n/a	44	96	n/a	180	108	n/a	
7	12439373	n/a	0	0	n/a	N	0	0000	84	3.67	0.03	0.03	0.04	3624	84	n/a	56	80	n/a	56	80	n/a	104	52	n/a	
8	12440000	n/a	0	0	n/a	N	0	0000	304	18.3	0.11	0.10	0.31	6408	304	n/a	52	296	n/a	68	288	n/a	212	296	n/a	
9	12440954	n/a	0	0	n/a	N	0	1000	1640	808	12.0	360	1128	50972	1640	n/a	904	1588	n/a	28880	1640	n/a	65532	1640	n/a	
10	12442337	n/a	0	0	n/a	N	0	0000	280	15.5	0.09	0.08	0.03	5396	280	n/a	52	268	n/a	52	256	n/a	88	56	n/a	
11	12444637	n/a	0	0	n/a	N	0	1000	2036	1184	8.69	340	1268	61900	2036	n/a	624	1968	n/a	23044	2036	n/a	65532	2036	n/a	
12	12444842	n/a	0	0	n/a	N	0	1000	2000	1058	12.7	365	1314	54780	2000	n/a	776	1952	n/a	23356	2000	n/a	65532	2000	n/a	
13	12444947	n/a	0	0	n/a	N	0	1000	1900	931	12.7	362	1239	51184	1900	n/a	976	1832	n/a	25520	1900	n/a	65532	1900	n/a	
14	12445004	n/a	0	0	n/a	N	0	1000	1900	885	10.3	311	1231	49960	1900	n/a	736	1840	n/a	20724	1900	n/a	65532	1900	n/a	
15	12445266	n/a	0	0	n/a	N	0	0000	140	8.24	0.07	0.12	0.18	5772	140	n/a	72	136	n/a	120	140	n/a	224	132	n/a	
16	12445988	n/a	0	0	n/a	N	0	1000	1444	858	12.9	460	1019	65024	1444	n/a	1452	1388	n/a	47052	1444	n/a	65532	1444	n/a	
17	12446079	n/a	0	0	n/a	N	0	1000	2276	1211	22.5	894	1583	53804	2276	n/a	1428	2208	n/a	53284	2276	n/a	65532	2276	n/a	
18	12446209	n/a	0	0	n/a	N	0	0000	84	3.98	0.03	0.03	0.01	4116	84	n/a	52	84	n/a	60	76	n/a	44	44	n/a	
19	12446528	n/a	0	0	n/a	N	0	1000	1336	873	8.00	267	879	65532	1336	n/a	768	1256	n/a	25464	1336	n/a	65532	1336	n/a	
20	12446712	n/a	0	0	n/a	N	0	1000	1800	820	8.85	386	1227	48584	1800	n/a	632	1776	n/a	27172	1800	n/a	65532	1800	n/a	
21	12446848	n/a	0	0	n/a	N	0	1000	1680	897	10.2	347	1122	57788	1680	n/a	840	1628	n/a	27880	1680	n/a	65532	1680	n/a	
22	12447029	n/a	0	0	n/a	N	0	1000	1120	669	9.00	220	744	62876	1120	n/a	1172	1064	n/a	27472	1120	n/a	65532	1120	n/a	
23	12447329	n/a	0	0	n/a	N	0	0000	272	21.1	0.07	0.08	0.07	8788	272	n/a	52	248	n/a	56	248	n/a	148	108	n/a	
24	12447662	n/a	0	0	n/a	N	0	1000	1780	843	14.0	385	1198	50108	1780	n/a	1092	1716	n/a	28984	1780	n/a	65532	1780	n/a	
25	12448344	n/a	0	0	n/a	N	0	1000	1840	903	20.3	402	1199	51272	1840	n/a	1652	1760	n/a	29936	1840	n/a	65532	1840	n/a	
26	12448394	n/a	0	0	n/a	N	0	0000	108	6.21	0.05	0.04	0.12	5380	108	n/a	52	108	n/a	48	108	n/a	200	104	n/a	
27	12448940	n/a	0	0	n/a	N	0	1000	1244	632	11.0	205	780	56832	1244	n/a	1356	1192	n/a	22312	1244	n/a	65532	1244	n/a	
28	12448979	n/a	0	0	n/a	N	0	0000	116	6.76	0.04	0.04	0.02	5420	116	n/a	56	108	n/a	52	116	n/a	116	32	n/a	
29	12449864	n/a	0	0	n/a	N	0	1000	1648	768	11.4	408	1085	48432	1648	n/a	1012	1596	n/a	33844	1648	n/a	65532	1648	n/a	
30	12449998	n/a	0	0	n/a	N	0	1000	2052	882	10.3	308	1148	49892	2052	n/a	772	1872	n/a	21828	2052	n/a	65532	2052	n/a	
31	12450049	n/a	0	0	n/a	N	0	1000	1872	988	14.4	470	1264	52884	1872	n/a	1080	1808	n/a	33016	1872	n/a	65532	1872	n/a	
32	12450126	n/a	0	0	n/a	N	0	1000	2060	1037	13.6	467	1408	52868	2060	n/a	804	2008	n/a	27988	2060	n/a	65532	2060	n/a	
33	12450230	n/a	0	0	n/a	N	0	1000	1780	747	8.95	281	1110	44700	1780	n/a	708	1728	n/a	20076	1780	n/a	65532	1780	n/a	
34	12450288	n/a	0	0	n/a	N	0	1000	2176	981	21.3	855	1495	48732	2176	n/a	1432	2144	n/a	53960	2176	n/a	65532	2176	n/a	
35	12450839	n/a	0	0	n/a	N	0	1000	1804	816	14.9	502	1221	50172	1804	n/a	1344	1756	n/a	39640	1804	n/a	65532	1804	n/a	
36	12450913	n/a	0	0	n/a	N	0	1000	1616	891	7.15	273	1039	59148	1616	n/a	560	1540	n/a	21476	1616	n/a	65532	1616	n/a	
37	12450949	n/a	0	0	n/a	N	0	1000	1944	889	15.4	388	1160	50176	1944	n/a	1072	1876	n/a	26360	1944	n/a	65532	1944	n/a	
38	12451123	n/a	0	0	n/a	N	0	1000	1888	854	11.8	380	1213	47480	1888	n/a	932	1844	n/a	27364	1888	n/a	65532	1888	n/a	
39	12451333	n/a	0	0	n/a	N	0	1000	1556	885	17.9	383	1055	62936	1556	n/a	1748	1488	n/a	33888	1556	n/a	65532	1556	n/a	
40	12451473	n/a	0	0	n/a	N	0	1000	1732	933	10.8	411	1171	54188	1732	n/a	828	1676	n/a	30820	1732	n/a	65532	1732	n/a	
