Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	12812944	n/a	0	0	n/a	N	0	0000	756	277	0.60	0.49	1.18	39732	756	n/a	144	740	n/a	180	688	n/a	352	668	n/a	
2	12836324	n/a	0	0	n/a	N	0	0000	172	11.6	0.07	0.05	0.12	6592	172	n/a	56	168	n/a	48	152	n/a	220	132	n/a	
3	12847125	n/a	0	0	n/a	N	0	0000	484	64.2	1.58	13.7	30.1	15440	484	n/a	428	484	n/a	4096	484	n/a	8944	484	n/a	
4	12849691	n/a	0	0	n/a	N	0	0000	84	4.54	0.02	0.05	0.41	5000	84	n/a	60	76	n/a	84	84	n/a	524	84	n/a	
5	12849777	n/a	0	0	n/a	N	0	0000	212	9.14	0.08	0.07	0.02	3680	212	n/a	64	204	n/a	48	208	n/a	68	56	n/a	
6	12849778	n/a	0	0	n/a	N	0	0000	92	4.06	0.02	0.01	0.00	3676	92	n/a	40	68	n/a	40	60	n/a	32	24	n/a	
7	12849778	n/a	0	0	n/a	N	0	0010	1296	97.8	0.43	0.32	0.18	8284	1296	n/a	60	1236	n/a	68	1208	n/a	116	404	n/a	
8	12850945	n/a	0	0	n/a	N	0	0000	176	9.85	0.08	0.08	0.14	5168	176	n/a	72	168	n/a	72	172	n/a	144	148	n/a	
9	12855975	n/a	0	0	n/a	N	0	1000	2136	861	10.2	269	1108	46044	2136	n/a	720	2072	n/a	20344	2136	n/a	65532	2136	n/a	
10	12856141	n/a	0	0	n/a	N	0	1000	1724	811	6.08	221	988	51452	1724	n/a	544	1656	n/a	17900	1724	n/a	65532	1724	n/a	
11	12857661	n/a	0	0	n/a	N	0	0000	108	6.25	0.07	0.27	0.30	5480	108	n/a	88	104	n/a	284	108	n/a	340	108	n/a	
12	12859056	n/a	0	0	n/a	N	0	1000	1844	752	11.1	369	1173	46284	1844	n/a	752	1776	n/a	25920	1844	n/a	65532	1844	n/a	
13	12860798	n/a	0	0	n/a	N	0	1000	1844	1038	10.7	362	1228	58268	1844	n/a	816	1772	n/a	26792	1844	n/a	65532	1844	n/a	
14	12862667	n/a	0	0	n/a	N	0	1000	2004	1137	11.5	481	1372	61020	2004	n/a	764	1948	n/a	30732	2004	n/a	65532	2004	n/a	
15	12862961	n/a	0	0	n/a	N	0	1000	1132	623	5.72	166	625	58264	1132	n/a	668	1092	n/a	18520	1132	n/a	62900	1132	n/a	
16	12863471	n/a	0	0	n/a	N	0	1000	1460	909	7.85	176	933	65532	1460	n/a	720	1404	n/a	15596	1460	n/a	65532	1460	n/a	
17	12864003	n/a	0	0	n/a	N	0	1000	1912	958	11.8	467	1319	52536	1912	n/a	800	1856	n/a	31804	1912	n/a	65532	1912	n/a	
18	12864487	n/a	0	0	n/a	N	0	1000	1936	914	8.97	416	1294	55456	1936	n/a	620	1896	n/a	27724	1936	n/a	65532	1936	n/a	
19	12864489	n/a	0	0	n/a	N	0	1000	1804	1067	6.24	143	1015	61824	1804	n/a	476	1748	n/a	10520	1804	n/a	65532	1804	n/a	
20	12865724	n/a	0	0	n/a	N	0	1000	2000	994	10.1	319	1331	50388	2000	n/a	596	1956	n/a	19108	2000	n/a	65532	2000	n/a	
21	12866262	n/a	0	0	n/a	N	0	1000	2056	938	10.5	212	1006	54228	2056	n/a	828	1912	n/a	16284	1952	n/a	65532	2056	n/a	
22	12866412	n/a	0	0	n/a	N	0	1000	1892	920	12.7	340	1188	52800	1892	n/a	1092	1836	n/a	24812	1892	n/a	65532	1892	n/a	
23	12866631	n/a	0	0	n/a	N	0	1000	1956	927	11.2	379	1249	52504	1956	n/a	764	1896	n/a	26084	1956	n/a	65532	1956	n/a	
24	12867178	n/a	0	0	n/a	N	0	1000	1848	814	8.04	334	1175	46208	1848	n/a	544	1792	n/a	24336	1848	n/a	65532	1848	n/a	
25	12867296	n/a	0	0	n/a	N	0	0000	64	3.22	0.05	0.10	0.10	4484	64	n/a	88	64	n/a	156	64	n/a	236	64	n/a	
26	12868342	n/a	0	0	n/a	N	0	1000	1924	933	7.40	277	1224	51744	1924	n/a	552	1872	n/a	19336	1924	n/a	65532	1924	n/a	
27	12868685	n/a	0	0	n/a	N	0	1000	1520	747	18.4	302	921	54416	1520	n/a	1724	1452	n/a	27284	1520	n/a	65532	1520	n/a	
28	12869217	n/a	0	0	n/a	N	0	0000	80	3.90	0.03	0.03	0.02	4244	80	n/a	56	72	n/a	52	76	n/a	120	36	n/a	
29	12869322	n/a	0	0	n/a	N	0	1000	1676	933	13.2	335	1151	57380	1676	n/a	1004	1612	n/a	25528	1676	n/a	65532	1676	n/a	
30	12869515	n/a	0	0	n/a	N	0	1000	1676	924	10.8	331	1145	58636	1676	n/a	928	1628	n/a	25604	1676	n/a	65532	1676	n/a	
31	12869685	n/a	0	0	n/a	N	0	1000	1960	1065	10.7	417	1354	56568	1960	n/a	668	1908	n/a	26784	1960	n/a	65532	1960	n/a	
32	12870782	n/a	0	0	n/a	N	0	1000	1632	981	21.7	513	1136	64676	1632	n/a	1884	1552	n/a	42524	1632	n/a	65532	1632	n/a	
33	12870860	n/a	0	0	n/a	N	0	1000	1940	1023	17.7	505	1332	54108	1940	n/a	1296	1876	n/a	35452	1940	n/a	65532	1940	n/a	
34	12870995	n/a	0	0	n/a	N	0	1000	1688	837	7.28	230	1032	55476	1688	n/a	556	1636	n/a	18460	1688	n/a	65532	1688	n/a	
35	12871071	n/a	0	0	n/a	N	0	1000	2036	1053	10.6	515	1380	53720	2036	n/a	708	1996	n/a	33860	2036	n/a	65532	2036	n/a	
36	12871129	n/a	0	0	n/a	N	0	1000	1928	736	27.1	705	1247	45564	1928	n/a	2204	1872	n/a	52432	1928	n/a	65532	1928	n/a	
37	12871578	n/a	0	0	n/a	N	0	0000	276	28.2	0.51	2.75	2.43	11160	276	n/a	260	276	n/a	1276	276	n/a	1224	276	n/a	
38	12872907	n/a	0	0	n/a	N	0	1000	1840	939	12.2	369	1198	54924	1840	n/a	1024	1768	n/a	27784	1840	n/a	65532	1840	n/a	
39	12873081	n/a	0	0	n/a	N	0	0000	104	5.75	0.23	0.28	0.29	5112	104	n/a	220	104	n/a	296	104	n/a	284	104	n/a	
