Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	13259141	n/a	0	0	n/a	N	0	0000	508	77.7	0.94	4.69	6.44	15584	508	n/a	212	508	n/a	1096	508	n/a	1688	508	n/a	
2	13263387	n/a	0	0	n/a	N	0	0000	88	4.29	0.03	0.03	0.02	4248	88	n/a	56	88	n/a	44	84	n/a	64	40	n/a	
3	13266030	n/a	0	0	n/a	N	0	0000	144	11.4	0.07	0.17	0.43	8320	144	n/a	68	144	n/a	160	144	n/a	372	144	n/a	
4	13270228	n/a	0	0	n/a	N	0	0000	304	52.7	0.19	0.67	2.17	21804	304	n/a	104	300	n/a	404	304	n/a	1436	300	n/a	
5	13271166	n/a	0	0	n/a	N	0	0000	104	5.00	0.05	0.13	0.20	4180	104	n/a	76	104	n/a	140	104	n/a	232	104	n/a	
6	13271227	n/a	0	0	n/a	N	0	0000	256	14.2	0.09	0.08	0.13	5100	256	n/a	68	248	n/a	56	240	n/a	184	168	n/a	
7	13272520	n/a	0	0	n/a	N	0	0000	112	6.67	0.04	0.03	0.00	5644	112	n/a	52	112	n/a	44	96	n/a	24	16	n/a	
8	13275476	n/a	0	0	n/a	N	0	0000	100	4.44	0.03	0.02	0.07	3720	100	n/a	44	96	n/a	44	76	n/a	148	80	n/a	
9	13276911	n/a	0	0	n/a	N	0	0000	4324	2642	37.6	842	2898	65532	4324	n/a	1708	4200	n/a	30432	4324	n/a	65532	4324	n/a	
10	13277787	n/a	0	0	n/a	N	0	0000	432	25.7	0.16	0.23	0.89	7240	432	n/a	60	424	n/a	116	420	n/a	392	428	n/a	
11	13278024	n/a	0	0	n/a	N	0	1000	2648	1311	14.4	585	1451	63488	2648	n/a	828	2388	n/a	40364	2600	n/a	65532	2648	n/a	
12	13280442	n/a	0	0	n/a	N	0	1000	1412	671	12.7	307	979	53332	1412	n/a	1300	1380	n/a	29000	1412	n/a	65532	1412	n/a	
