Id	Time	Plate	Row	Column	Source well	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	2611031	n/a	0	0	n/a	N	0	000000	332	51.8	17.2	11.2	2.31	18100	332	n/a	8336	332	n/a	5252	332	n/a	1184	332	n/a	
2	2612315	n/a	0	0	n/a	N	0	000000	752	54.5	2.00	1.56	1.71	8140	752	n/a	652	752	n/a	264	752	n/a	408	744	n/a	
3	2612315	n/a	0	0	n/a	N	0	000000	564	34.2	0.76	0.34	0.56	6096	564	n/a	216	564	n/a	128	560	n/a	288	468	n/a	
4	2612457	n/a	0	0	n/a	N	0	000000	632	57.2	21.3	20.5	3.67	14360	632	n/a	8360	632	n/a	8108	632	n/a	1288	628	n/a	
5	2612496	n/a	0	0	n/a	N	0	000000	1516	115	7.91	5.18	3.78	11748	1516	n/a	1036	1516	n/a	1044	1516	n/a	660	1428	n/a	
6	2613708	n/a	0	0	n/a	N	0	000000	456	34.7	8.59	3.64	0.98	8404	456	n/a	2516	456	n/a	1084	456	n/a	420	436	n/a	
7	2613708	n/a	0	0	n/a	N	0	000000	124	6.02	2.08	1.64	0.36	4224	124	n/a	1796	124	n/a	1428	124	n/a	416	124	n/a	
8	2614611	n/a	0	0	n/a	N	0	000000	156	9.09	0.06	0.32	4.20	5448	156	n/a	76	128	n/a	224	156	n/a	2512	156	n/a	
9	2614764	n/a	0	0	n/a	N	0	000000	124	6.33	0.04	0.08	0.09	4632	124	n/a	56	120	n/a	96	124	n/a	156	112	n/a	
10	2614957	n/a	0	0	n/a	N	0	000000	124	6.53	3.15	1.71	0.34	4728	124	n/a	3088	124	n/a	1628	124	n/a	356	124	n/a	
11	2615090	n/a	0	0	n/a	N	0	000000	340	18.8	0.13	0.16	0.08	5760	340	n/a	76	292	n/a	88	324	n/a	148	128	n/a	
12	2615125	n/a	0	0	n/a	N	0	000000	100	6.15	0.03	0.02	0.10	5840	100	n/a	56	92	n/a	36	80	n/a	212	96	n/a	
13	2615339	n/a	0	0	n/a	N	0	000000	336	22.8	3.48	3.91	1.65	6816	336	n/a	1076	336	n/a	1356	336	n/a	860	336	n/a	
14	2615597	n/a	0	0	n/a	N	0	000000	580	29.2	5.02	3.68	1.10	5224	580	n/a	1572	580	n/a	1232	580	n/a	400	576	n/a	
15	2615610	n/a	0	0	n/a	N	0	000010	1224	61.0	231	116	9.12	4548	1224	n/a	45584	1224	n/a	17684	1224	n/a	1224	1224	n/a	
16	2615611	n/a	0	0	n/a	N	0	000000	200	15.0	115	107	9.15	7920	200	n/a	65532	200	n/a	65532	200	n/a	10268	200	n/a	
17	2615721	n/a	0	0	n/a	N	0	000000	212	12.6	1.20	0.57	0.51	5696	212	n/a	532	212	n/a	268	212	n/a	400	208	n/a	
18	2615842	n/a	0	0	n/a	N	0	000000	216	9.50	0.52	0.28	0.11	3684	216	n/a	288	216	n/a	160	216	n/a	216	144	n/a	
19	2615842	n/a	0	0	n/a	N	0	000000	344	15.3	1.38	0.81	0.34	3912	344	n/a	428	344	n/a	256	344	n/a	228	276	n/a	
20	2615942	n/a	0	0	n/a	N	0	000000	104	4.60	1.68	0.61	0.18	3688	104	n/a	1596	104	n/a	580	104	n/a	240	100	n/a	
21	2616735	n/a	0	0	n/a	N	0	000000	176	15.0	9.38	7.79	1.94	9104	176	n/a	6776	176	n/a	5604	176	n/a	1408	176	n/a	
22	2616842	n/a	0	0	n/a	N	0	000000	208	14.4	4.52	2.66	0.47	7512	208	n/a	3764	208	n/a	2348	208	n/a	492	204	n/a	
23	2616842	n/a	0	0	n/a	N	0	000000	128	7.18	4.46	2.77	0.38	5284	128	n/a	3472	128	n/a	2148	128	n/a	344	128	n/a	
24	2617127	n/a	0	0	n/a	N	0	000000	108	5.49	1.07	0.41	0.16	4528	108	n/a	860	108	n/a	352	108	n/a	244	104	n/a	
25	2617330	n/a	0	0	n/a	N	0	000000	300	19.5	13.7	9.29	1.14	6580	300	n/a	7788	300	n/a	4648	300	n/a	524	296	n/a	
26	2617337	n/a	0	0	n/a	N	0	000000	528	55.7	3.28	2.24	0.73	19084	528	n/a	1060	528	n/a	876	528	n/a	476	492	n/a	
27	2617338	n/a	0	0	n/a	N	0	000000	1524	77.0	7.68	4.06	1.56	4536	1524	n/a	624	1524	n/a	444	1524	n/a	292	1312	n/a	
28	2617547	n/a	0	0	n/a	N	0	000000	212	10.2	3.59	4.00	1.23	4244	212	n/a	1656	212	n/a	1988	212	n/a	792	212	n/a	
29	2617547	n/a	0	0	n/a	N	0	000000	452	28.1	17.0	20.4	5.75	6912	452	n/a	5128	452	n/a	5948	452	n/a	1588	452	n/a	
30	2618139	n/a	0	0	n/a	N	0	000000	584	49.1	12.6	12.4	2.61	10804	584	n/a	3792	584	n/a	3696	584	n/a	852	584	n/a	
31	2618139	n/a	0	0	n/a	N	0	000000	132	5.82	1.95	1.79	0.27	3720	132	n/a	1596	132	n/a	1524	132	n/a	248	128	n/a	
32	2618431	n/a	0	0	n/a	N	0	000000	132	6.16	0.06	0.07	0.10	3964	132	n/a	64	128	n/a	108	128	n/a	176	108	n/a	
33	2618654	n/a	0	0	n/a	N	0	000000	188	12.0	0.06	0.10	0.30	6164	188	n/a	64	172	n/a	72	184	n/a	228	184	n/a	
34	2620258	n/a	0	0	n/a	N	0	000000	164	12.2	0.34	0.72	1.36	7680	164	n/a	272	164	n/a	560	164	n/a	1020	164	n/a	
35	2620945	n/a	0	0	n/a	N	0	000000	536	72.3	1.51	7.86	22.6	15064	536	n/a	532	536	n/a	3000	536	n/a	6928	536	n/a	
36	2621089	n/a	0	0	n/a	N	0	000000	236	22.5	0.01	1.44	11.5	10544	236	n/a	36	40	n/a	728	236	n/a	5024	236	n/a	
37	2621113	n/a	0	0	n/a	N	0	000000	128	7.70	0.44	0.98	1.38	5704	128	n/a	400	128	n/a	908	128	n/a	1280	128	n/a	
38	2621149	n/a	0	0	n/a	N	0	000000	208	13.8	0.15	0.30	0.14	6572	208	n/a	104	204	n/a	196	208	n/a	224	168	n/a	
39	2621283	n/a	0	0	n/a	N	0	000000	312	23.0	0.89	5.48	11.3	9376	312	n/a	820	312	n/a	3016	312	n/a	7236	312	n/a	
40	2621394	n/a	0	0	n/a	N	0	000000	160	13.1	3.83	7.78	18.8	8716	160	n/a	2244	160	n/a	5272	160	n/a	13056	160	n/a	
41	2621465	n/a	0	0	n/a	N	0	000000	156	10.0	0.03	0.91	4.00	6260	156	n/a	68	88	n/a	632	156	n/a	2804	156	n/a	
42	2621532	n/a	0	0	n/a	N	0	000000	224	17.7	2.01	5.21	21.0	8068	224	n/a	1308	224	n/a	2632	224	n/a	10656	224	n/a	
43	2621597	n/a	0	0	n/a	N	0	000000	168	13.1	0.10	2.32	11.9	8084	168	n/a	88	164	n/a	1492	168	n/a	7556	168	n/a	
44	2621636	n/a	0	0	n/a	N	0	000000	540	94.6	7.74	45.9	52.1	20720	540	n/a	2172	540	n/a	12924	540	n/a	15888	540	n/a	
45	2621647	n/a	0	0	n/a	N	0	000000	284	19.4	0.80	1.92	4.75	6396	284	n/a	388	284	n/a	796	284	n/a	1832	284	n/a	
46	2621684	n/a	0	0	n/a	N	0	000000	116	6.49	0.13	2.61	13.0	5092	116	n/a	132	116	n/a	2080	116	n/a	10668	116	n/a	
47	2621823	n/a	0	0	n/a	N	0	000000	408	35.6	1.64	8.28	41.8	9576	408	n/a	616	408	n/a	2620	408	n/a	12096	408	n/a	
48	2621839	n/a	0	0	n/a	N	0	000000	104	5.81	0.28	1.37	3.21	5156	104	n/a	272	104	n/a	1384	104	n/a	3140	104	n/a	
49	2621841	n/a	0	0	n/a	N	0	000000	112	7.31	0.12	0.91	3.04	6372	112	n/a	148	112	n/a	972	112	n/a	3156	112	n/a	
50	2621845	n/a	0	0	n/a	N	0	000000	124	6.96	0.71	1.47	1.83	5140	124	n/a	620	124	n/a	1228	124	n/a	1420	124	n/a	
51	2621858	n/a	0	0	n/a	N	0	000000	784	50.6	0.34	5.40	28.7	6804	784	n/a	88	708	n/a	824	784	n/a	3816	784	n/a	
52	2621861	n/a	0	0	n/a	N	0	000000	216	15.9	0.78	5.61	12.8	7236	216	n/a	484	216	n/a	2708	216	n/a	6472	216	n/a	
53	2621913	n/a	0	0	n/a	N	0	000000	164	11.8	0.20	1.91	4.56	7260	164	n/a	156	164	n/a	1268	164	n/a	2944	164	n/a	
54	2621918	n/a	0	0	n/a	N	0	000000	148	7.43	0.95	0.87	0.59	4372	148	n/a	624	148	n/a	572	148	n/a	524	148	n/a	
55	2621929	n/a	0	0	n/a	N	0	000000	5048	686	14.8	112	207	15504	5048	n/a	1060	4740	n/a	3940	5048	n/a	6844	5048	n/a	
56	2621930	n/a	0	0	n/a	N	0	000000	296	26.1	1.03	5.77	5.28	9536	296	n/a	456	296	n/a	2484	296	n/a	2268	296	n/a	
57	2621941	n/a	0	0	n/a	N	0	000000	200	15.7	0.63	5.93	13.3	7892	200	n/a	420	200	n/a	3708	200	n/a	7828	200	n/a	
58	2621971	n/a	0	0	n/a	N	0	000000	156	9.01	0.12	1.45	4.37	5344	156	n/a	120	152	n/a	1084	156	n/a	3040	156	n/a	
59	2622010	n/a	0	0	n/a	N	0	000000	196	14.5	2.13	8.33	19.2	7220	196	n/a	1068	196	n/a	4132	196	n/a	9788	196	n/a	
60	2622012	n/a	0	0	n/a	N	0	000000	196	12.8	0.18	2.72	11.9	6372	196	n/a	116	196	n/a	1496	196	n/a	6344	196	n/a	
61	2622071	n/a	0	0	n/a	N	0	000000	192	14.3	0.28	2.07	6.11	7448	192	n/a	172	192	n/a	1132	192	n/a	3452	192	n/a	
62	2622076	n/a	0	0	n/a	N	0	000000	152	10.3	0.29	2.60	8.39	6732	152	n/a	208	152	n/a	1852	152	n/a	5900	152	n/a	
63	2622103	n/a	0	0	n/a	N	0	000000	156	9.67	0.27	0.94	1.31	5980	156	n/a	240	156	n/a	644	156	n/a	936	156	n/a	
64	2622191	n/a	0	0	n/a	N	0	000000	132	7.33	0.00	0.11	0.96	5076	132	n/a	20	20	n/a	104	132	n/a	740	132	n/a	
65	2622243	n/a	0	0	n/a	N	0	000000	4136	1257	8.30	57.9	216	40212	4136	n/a	588	3392	n/a	4792	4136	n/a	15776	4136	n/a	
66	2622279	n/a	0	0	n/a	N	0	000000	492	37.7	2.73	12.4	22.2	7208	492	n/a	676	492	n/a	2628	492	n/a	5132	492	n/a	
67	2622285	n/a	0	0	n/a	N	0	000000	148	7.96	0.24	1.27	2.03	4844	148	n/a	232	148	n/a	872	148	n/a	1388	148	n/a	
